botid, date, time, press, atp, 
#, mmddyy, hhmmss, dbar, ng/kg, 
1150201518, 052600, 015253,    5.5,  23.35,
1150201516, 052600, 015131,   24.4,  26.21,
1150201514, 052600, 014958,   44.9,  33.61,
1150201512, 052600, 014742,   74.4,  33.12,
1150201511, 052600, 014629,  100.4,  27.79,
1150201509, 052600, 014505,  124.5,  22.67,
1150201508, 052600, 014349,  149.2,  11.48,
1150201506, 052600, 014218,  174.6,  10.16,
1160201212, 062100, 224520,    5.0,  40.74,
1160201211, 062100, 224350,   24.8,  53.37,
1160201210, 062100, 224245,   44.1,  73.63,
1160201209, 062100, 224125,   74.7,  29.18,
1160201208, 062100, 224020,   98.9,  19.87,
1160201207, 062100, 223920,  125.1,  19.93,
1160201206, 062100, 223815,  150.9,  16.26,
1160201205, 062100, 223710,  176.0,  14.03,
1170201324, 072700, 105340,    3.8,  57.37,
1170201322, 072700, 105159,   25.2,  66.78,
1170201320, 072700, 105023,   43.3,  58.84,
1170201317, 072700, 104718,   73.7,  40.22,
1170201315, 072700, 104551,  100.0,  26.36,
1170201313, 072700, 104426,  123.5,  16.58,
1170201312, 072700, 104314,  150.2,  13.83,
1170201310, 072700, 104143,  173.4,  11.78,
1180201312, 082400, 005622,    5.2,  31.52,
1180201311, 082400, 005453,   24.8,  35.74,
1180201310, 082400, 005339,   44.8,  45.09,
1180201309, 082400, 005206,   75.2,  33.69,
1180201308, 082400, 005038,  100.0,  31.84,
1180201307, 082400, 004917,  124.6,  18.36,
1180201306, 082400, 004756,  150.5,  13.29,
1180201305, 082400, 004633,  177.6,   8.71,
1190201012, 101800, 185507,    4.1,  25.39,
1190201011, 101800, 185357,   24.3,  31.44,
1190201010, 101800, 185258,   44.6,  27.41,
1190201009, 101800, 185148,   75.3,  39.12,
1190201008, 101800, 185038,  100.1,  30.52,
1190201007, 101800, 184932,  124.8,  22.72,
1190201006, 101800, 184822,  151.4,  10.64,
1190201005, 101800, 184712,  174.8,   7.89,
1200201410, 120100, 064403,    4.6,  28.76,
1200201409, 120100, 064246,   24.9,  34.84,
1200201408, 120100, 064132,   44.5,  31.32,
1200201407, 120100, 064001,   74.9,  37.30,
1200201406, 120100, 063842,  100.0,  31.45,
1200201405, 120100, 063717,  124.1,  31.84,
1200201404, 120100, 063554,  149.7,  16.64,
1210201411, 122100, 055818,    3.4,  30.52,
1210201410, 122100, 055643,   23.8,  34.40,
1210201409, 122100, 055510,   44.5,  18.89,
1210201408, 122100, 055324,   74.5,  38.50,
1210201407, 122100, 055154,   99.5,  31.84,
1210201406, 122100, 055018,  125.0,  18.05,
1210201405, 122100, 054838,  149.7,  13.83,
1220201212, 011801, 005721,    3.7,  21.09,
1220201211, 011801, 005611,   23.8,  29.22,
1220201210, 011801, 005456,   43.6,  32.37,
1220201209, 011801, 005329,   73.3,  32.96,
1220201208, 011801, 005131,   98.9,  28.84,
1220201207, 011801, 004958,  123.6,  17.80,
1220201206, 011801, 004831,  149.2,  17.65,
1230200917, 021601, 010719,    4.0,  25.04,
1230200915, 021601, 010545,   23.9,  16.89,
1230200913, 021601, 010359,   44.1,  12.44,
1230200911, 021601, 010229,   75.4,  31.46,
1230200909, 021601, 010104,   98.8,  21.14,
1230200907, 021601, 005935,  121.2,  14.74,
1230200905, 021601, 005758,  150.1,   7.70,
1240201212, 032201, 125709,    4.0,  20.01,
1240201211, 032201, 125524,   24.4,  23.50,
1240201210, 032201, 125358,   44.4,  27.19,
1240201209, 032201, 125207,   74.7,  36.33,
1240201208, 032201, 125038,   99.6,  35.82,
1240201206, 032201, 124834,  123.5,  26.24,
1240201205, 032201, 124651,  150.4,  18.71,
1240201204, 032201, 124454,  175.0,  12.06,
1250201211, 041901, 005013,    3.9,  28.49,
1250201210, 041901, 004901,   23.3,  30.62,
1250201209, 041901, 004745,   44.8,  38.46,
1250201208, 041901, 004626,   74.2,  33.56,
1250201207, 041901, 004512,   98.6,  37.09,
1250201206, 041901, 004402,  122.8,  31.85,
1250201205, 041901, 004245,  149.7,  25.13,
1260201310, 051801, 004719,    4.4,  22.79,
1260201309, 051801, 004604,   24.4,  31.76,
1260201308, 051801, 004509,   44.1,  29.26,
1260201307, 051801, 004404,   74.3,  32.06,
1260201306, 051801, 004259,   99.1,  25.92,
1260201305, 051801, 004119,  150.1,  22.17,
1270201218, 061501, 004938,    4.3,  20.69,
1270201216, 061501, 004801,   24.6,  31.49,
1270201214, 061501, 004640,   45.3,  32.65,
1270201212, 061501, 004458,   74.8,  36.45,
1270201210, 061501, 004321,   99.2,  36.89,
1270201208, 061501, 004157,  124.3,  27.13,
1270201206, 061501, 004045,  148.2,  22.09,
1280201012, 071201, 004746,    4.7,  23.59,
1280201011, 071201, 004615,   23.9,  40.64,
1280201010, 071201, 004456,   43.8,  51.69,
1280201009, 071201, 004337,   75.4,  40.21,
1280201008, 071201, 004224,  100.1,  34.63,
1280201007, 071201, 004108,  124.8,  33.68,
1280201006, 071201, 004001,  149.9,  20.39,
1290200420, 080701, 222633,    4.5,  21.57,
1290200418, 080701, 222436,   24.3,  23.89,
1290200417, 080701, 222318,   44.0,  36.66,
1290200414, 080701, 222043,   74.0,  28.18,
1290200412, 080701, 221854,   99.8,  31.05,
1290200410, 080701, 221728,  124.2,  11.33,
1290200408, 080701, 221600,  149.5,   7.43,
1300201211, 100301, 004620,    5.2,  23.61,
1300201210, 100301, 004445,   25.3,  30.59,
1300201209, 100301, 004330,   44.4,  32.86,
1300201208, 100301, 004110,   76.1,  32.78,
1300201207, 100301, 004000,  100.4,  29.91,
