botid, date, time, press, ph, 
#, mmddyy, hhmmss, dbar,  , 
0580200614, 101594, 085814,   84.2,  8.089,
0580200613, 101594, 085659,   94.7,  8.081,
0580200612, 101594, 085552,  104.7,  8.071,
0580200611, 101594, 085446,  115.3,  8.059,
0580200610, 101594, 085344,  124.7,  8.045,
0580200609, 101594, 085237,  134.8,  8.039,
0580200605, 101594, 084753,  185.4,  8.008,
0580201306, 101694, 055345,    4.9,  8.106,
0580201305, 101694, 055225,   25.0,  8.106,
0590200521, 112094, 074403,    5.3,  8.106,
0590200518, 112094, 074159,   25.2,  8.105,
0590200517, 112094, 074104,   34.2,  8.106,
0590200516, 112094, 074000,   43.2,  8.106,
0590200515, 112094, 073843,   58.7,  8.107,
0590200514, 112094, 073739,   74.0,  8.106,
0590200513, 112094, 073617,   86.5,  8.102,
0590200512, 112094, 073511,   94.9,  8.081,
0590200511, 112094, 073417,  102.3,  8.071,
0590200510, 112094, 073315,  115.7,  8.058,
0590200509, 112094, 073217,  125.2,  8.047,
0590200508, 112094, 073105,  135.4,  8.043,
0590200507, 112094, 072946,  150.6,  8.024,
0590200506, 112094, 072848,  159.8,  8.019,
0590200505, 112094, 072743,  173.0,  8.002,
0590200504, 112094, 072631,  185.0,  7.978,
0590201224, 112194, 043911,    4.6,  8.106,
0590201221, 112194, 043635,   25.8,  8.108,
0600200523, 020695, 075919,    5.0,  8.087,
0600200520, 020695, 075712,   23.4,  8.086,
0600200518, 020695, 075556,   34.1,  8.089,
0600200517, 020695, 075505,   43.8,  8.088,
0600200516, 020695, 075410,   59.8,  8.092,
0600200515, 020695, 075314,   74.9,  8.093,
0600200514, 020695, 075220,   84.8,  8.090,
0600200513, 020695, 075139,   95.5,  8.088,
0600200512, 020695, 075053,  104.3,  8.082,
0600200511, 020695, 075008,  113.5,  8.076,
0600200509, 020695, 074812,  123.8,  8.058,
0600200508, 020695, 074717,  133.6,  8.042,
0600200507, 020695, 074619,  149.8,  8.035,
0600200506, 020695, 074522,  160.2,  8.012,
0600200505, 020695, 074424,  175.1,  7.953,
0600200504, 020695, 074333,  184.4,  7.963,
0600200503, 020695, 074227,  199.5,  7.959,
0600200617, 020795, 091424,    5.6,  8.089,
0600200615, 020795, 091242,   24.6,  8.090,
0610200423, 030495, 080049,    5.5,  8.084,
0610200420, 030495, 075830,   25.5,  8.086,
0610200418, 030495, 075717,   34.0,  8.082,
0610200417, 030495, 075600,   44.7,  8.069,
0610200416, 030495, 075458,   57.9,  8.061,
0610200415, 030495, 075325,   78.0,  8.052,
0610200414, 030495, 075206,   85.2,  8.051,
0610200413, 030495, 075058,   96.0,  8.040,
0610200412, 030495, 074941,  106.3,  7.987,
0610200411, 030495, 074833,  111.9,  8.018,
0610200410, 030495, 074728,  123.6,  7.994,
0610200409, 030495, 074631,  134.2,  8.012,
0610200407, 030495, 074441,  149.2,  8.011,
0610200406, 030495, 074336,  161.3,  7.979,
0610200405, 030495, 074228,  174.9,  7.972,
0610200404, 030495, 074124,  184.9,  7.973,
0610200403, 030495, 074008,  200.0,  7.950,
0610201208, 030595, 083620,    4.7,  8.086,
0610201207, 030595, 083439,   25.1,  8.086,
0620200522, 040695, 070440,    4.4,  8.087,
0620200519, 040695, 070203,   25.1,  8.087,
0620200517, 040695, 070056,   33.6,  8.087,
0620200516, 040695, 065950,   44.8,  8.088,
0620200515, 040695, 065838,   60.9,  8.092,
0620200514, 040695, 065730,   75.2,  8.089,
0620200512, 040695, 065535,   93.3,  8.089,
0620200511, 040695, 065436,  104.5,  8.088,
0620200510, 040695, 065334,  114.4,  8.082,
0620200509, 040695, 065236,  124.0,  8.079,
0620200508, 040695, 065134,  134.9,  8.075,
0620200507, 040695, 065029,  149.2,  8.075,
0620200506, 040695, 064937,  160.2,  8.072,
0620200505, 040695, 064840,  173.8,  8.061,
0620200504, 040695, 064737,  183.6,  8.057,
0620201305, 040795, 074422,    4.5,  8.085,
0620201304, 040795, 074313,   24.8,  8.086,
0630200523, 050795, 090218,    5.0,  8.086,
0630200519, 050795, 085938,   24.7,  8.086,
0630200518, 050795, 085836,   34.3,  8.089,
0630200517, 050795, 085729,   45.0,  8.087,
0630200516, 050795, 085622,   59.5,  8.086,
0630200515, 050795, 085509,   75.6,  8.087,
0630200514, 050795, 085413,   84.3,  8.086,
0630200513, 050795, 085308,   95.2,  8.084,
0630200511, 050795, 085115,  115.0,  8.076,
0630200510, 050795, 085019,  124.3,  8.065,
0630200509, 050795, 084919,  135.3,  8.059,
0630200508, 050795, 084817,  149.8,  8.054,
0630200507, 050795, 084717,  159.4,  8.038,
0630200506, 050795, 084608,  174.7,  8.018,
0630200505, 050795, 084512,  184.9,  8.005,
0640200523, 073095, 082954,    5.0,  8.096,
0640200521, 073095, 082756,   24.3,  8.097,
0640200520, 073095, 082736,   24.4,  8.096,
0640200519, 073095, 082630,   35.0,  8.096,
0640200518, 073095, 082510,   45.1,  8.096,
0640200517, 073095, 082351,   60.1,  8.095,
0640200516, 073095, 082228,   74.9,  8.085,
0640200515, 073095, 082120,   85.0,  8.084,
0640200514, 073095, 082010,   95.6,  8.076,
0640200513, 073095, 081900,  104.7,  8.069,
0640200512, 073095, 081744,  114.6,  8.065,
0640200511, 073095, 081623,  124.5,  8.063,
0640200510, 073095, 081525,  133.8,  8.055,
0640200509, 073095, 081405,  149.5,  8.036,
0640200508, 073095, 081245,  160.7,  8.023,
0640200507, 073095, 081110,  174.3,  8.012,
0640200506, 073095, 081001,  183.9,  8.005,
0640201324, 073195, 120909,    4.0,  8.095,
0640201322, 073195, 120743,   24.7,  8.097,
0650200423, 082895, 073257,    4.7,  8.102,
0650200420, 082895, 073055,   25.0,  8.101,
0650200419, 082895, 073001,   44.3,  8.100,
0650200418, 082895, 072909,   60.3,  8.094,
0650200417, 082895, 072757,   74.4,  8.080,
0650200416, 082895, 072658,   84.3,  8.065,
0650200414, 082895, 072458,   94.7,  8.062,
0650200412, 082895, 072300,  105.2,  8.055,
0650200411, 082895, 072154,  114.8,  8.045,
0650200410, 082895, 072100,  124.8,  8.020,
0650200409, 082895, 072010,  135.4,  8.021,
0650200408, 082895, 071859,  149.6,  7.998,
0650200407, 082895, 071759,  160.0,  7.997,
0650200406, 082895, 071658,  173.3,  7.987,
0650200405, 082895, 071602,  184.8,  7.971,
0650201213, 082995, 073242,    5.1,  8.101,
0650201211, 082995, 073048,   26.3,  8.101,
0660200416, 092795, 040201,  199.9,  7.983,
0660200522, 092795, 070151,    5.0,  8.102,
0660200519, 092795, 065939,   24.8,  8.103,
0660200518, 092795, 065849,   35.0,  8.102,
0660200517, 092795, 065800,   45.5,  8.097,
0660200516, 092795, 065649,   60.4,  8.088,
0660200515, 092795, 065545,   74.5,  8.080,
0660200514, 092795, 065455,   85.0,  8.068,
0660200513, 092795, 065356,   93.9,  8.058,
0660200512, 092795, 065311,  104.1,  8.049,
0660201313, 092895, 065942,    5.3,  8.102,
0660201312, 092895, 065812,   25.0,  8.102,
0660201311, 092895, 065514,  115.3,  8.044,
0660201310, 092895, 065418,  124.6,  8.026,
0660201309, 092895, 065324,  134.1,  8.012,
0660201308, 092895, 065228,  149.2,  7.990,
0660201307, 092895, 065135,  160.1,  7.989,
0660201306, 092895, 065031,  175.3,  7.993,
0660201305, 092895, 064939,  185.2,  7.983,
0670200515, 102795, 025759,  199.4,  7.943,
0670200621, 102795, 060555,    4.6,  8.104,
0670200618, 102795, 060354,   24.4,  8.106,
0670200617, 102795, 060244,   44.3,  8.106,
0670200615, 102795, 055948,   75.0,  8.105,
0670200614, 102795, 055845,   84.9,  8.096,
0670200611, 102795, 055549,  114.9,  8.049,
0670200609, 102795, 055349,  134.7,  8.027,
0670200608, 102795, 055252,  149.1,  8.048,
0670200607, 102795, 055157,  158.3,  8.009,
0670200605, 102795, 054953,  185.0,  7.986,
0680200622, 111795, 060149,    5.0,  8.107,
0680200619, 111795, 055913,   24.0,  8.108,
0680200618, 111795, 055807,   34.5,  8.106,
0680200617, 111795, 055708,   44.3,  8.107,
0680200616, 111795, 055605,   60.9,  8.099,
0680200614, 111795, 055324,   85.5,  8.057,
0680200613, 111795, 055211,   94.1,  8.047,
0680200612, 111795, 055109,  104.3,  8.030,
0680200611, 111795, 054958,  114.3,  8.017,
0680200610, 111795, 054836,  125.0,  8.008,
0680200609, 111795, 054726,  134.5,  8.003,
0680200608, 111795, 054621,  149.9,  7.988,
0680200607, 111795, 054525,  160.3,  7.981,
0680200606, 111795, 054428,  175.1,  7.972,
0680200605, 111795, 054328,  184.7,  7.965,
0690200721, 011796, 075754,    4.6,  8.102,
0690200718, 011796, 075546,   24.9,  8.100,
0690200717, 011796, 075452,   34.8,  8.100,
0690200716, 011796, 075348,   44.8,  8.097,
0690200715, 011796, 075242,   59.6,  8.095,
0690200714, 011796, 075136,   74.6,  8.087,
0690200713, 011796, 075032,   84.3,  8.082,
0690200712, 011796, 074934,   94.4,  8.071,
0690200711, 011796, 074834,  104.4,  8.057,
0690200710, 011796, 074734,  114.4,  8.037,
0690200709, 011796, 074628,  124.8,  8.030,
0690200708, 011796, 074520,  134.9,  8.023,
0690200707, 011796, 074412,  149.5,  8.014,
0690200706, 011796, 074312,  160.0,  8.005,
0690200705, 011796, 074208,  174.4,  7.996,
0690200704, 011796, 074114,  184.4,  7.985,
0700200621, 032796, 080046,    4.8,  8.087,
0700200618, 032796, 075824,   24.4,  8.088,
0700200617, 032796, 075726,   34.0,  8.088,
0700200616, 032796, 075626,   44.3,  8.088,
0700200615, 032796, 075518,   58.8,  8.088,
0700200614, 032796, 075412,   72.8,  8.082,
0700200613, 032796, 075314,   84.4,  8.076,
0700200612, 032796, 075216,   95.2,  8.070,
0700200611, 032796, 075112,  104.6,  8.061,
0700200609, 032796, 074912,  123.7,  8.032,
0700200607, 032796, 074724,  148.7,  7.992,
0700200606, 032796, 074630,  159.1,  7.990,
0700200605, 032796, 074532,  173.0,  7.977,
0700200603, 032796, 074340,  199.6,  7.948,
0710200622, 042496, 070331,    4.6,  8.095,
0710200619, 042496, 070105,   23.6,  8.093,
0710200618, 042496, 065939,   34.3,  8.094,
0710200617, 042496, 065833,   44.1,  8.094,
0710200616, 042496, 065725,   59.0,  8.095,
0710200615, 042496, 065613,   74.1,  8.086,
0710200614, 042496, 065503,   84.4,  8.087,
0710200613, 042496, 065353,   94.2,  8.088,
0710200612, 042496, 065247,  104.1,  8.068,
0710200611, 042496, 065137,  114.8,  8.067,
0710200610, 042496, 065037,  123.9,  8.068,
0710200609, 042496, 064921,  134.5,  8.067,
0710200608, 042496, 064807,  150.5,  8.056,
0710200607, 042496, 064659,  160.5,  8.047,
0710200606, 042496, 064545,  174.5,  8.013,
0720200221, 052296, 060931,    5.1,  8.093,
0720200218, 052296, 060707,   24.6,  8.093,
0720200217, 052296, 060554,   35.1,  8.093,
0720200216, 052296, 060452,   44.5,  8.090,
0720200215, 052296, 060328,   61.1,  8.087,
0720200214, 052296, 060206,   75.1,  8.080,
0720200213, 052296, 060053,   85.0,  8.075,
0720200212, 052296, 055936,   94.3,  8.069,
0720200211, 052296, 055826,  105.1,  8.062,
0720200210, 052296, 055720,  116.3,  8.050,
0720200209, 052296, 055600,  125.0,  8.048,
0720200208, 052296, 055452,  134.8,  8.030,
0720200207, 052296, 055332,  149.0,  8.024,
0720200206, 052296, 055217,  159.4,  8.023,
0720200205, 052296, 055052,  175.1,  8.020,
0720200204, 052296, 054922,  186.2,  8.021,
0730200623, 062696, 070517,    4.0,  8.098,
0730200619, 062696, 070225,   24.6,  8.098,
0730200618, 062696, 070111,   35.2,  8.098,
0730200617, 062696, 065955,   45.0,  8.090,
0730200616, 062696, 065833,   59.3,  8.092,
0730200615, 062696, 065721,   74.4,  8.086,
0730200614, 062696, 065607,   84.5,  8.082,
0730200613, 062696, 065503,   94.9,  8.080,
0730200612, 062696, 065357,  104.7,  8.068,
0730200611, 062696, 065249,  114.5,  8.063,
0730200609, 062696, 065015,  134.0,  8.049,
0730200608, 062696, 064907,  150.0,  8.045,
0730200607, 062696, 064801,  159.0,  8.040,
0730200606, 062696, 064637,  174.6,  8.033,
0730200605, 062696, 064531,  184.6,  8.033,
0740200623, 072796, 065603,    4.4,  8.104,
0740200620, 072796, 065409,   24.3,  8.104,
0740200618, 072796, 065301,   33.9,  8.104,
0740200617, 072796, 065203,   44.6,  8.105,
0740200616, 072796, 065111,   58.9,  8.098,
0740200615, 072796, 065009,   74.8,  8.088,
0740200614, 072796, 064917,   84.5,  8.084,
0740200613, 072796, 064817,   95.1,  8.081,
0740200611, 072796, 064629,  113.7,  8.068,
0740200610, 072796, 064535,  124.2,  8.052,
0740200609, 072796, 064439,  134.2,  8.053,
0740200607, 072796, 064301,  150.2,  8.043,
0740200606, 072796, 064213,  159.2,  8.028,
0740200605, 072796, 064117,  174.3,  8.003,
0740200604, 072796, 064029,  184.6,  8.002,
0740200603, 072796, 063927,  199.9,  7.996,
0750200624, 082196, 080153,    5.2,  8.108,
0750200621, 082196, 075921,   25.1,  8.106,
0750200619, 082196, 075829,   34.6,  8.107,
0750200617, 082196, 075618,   59.8,  8.099,
0750200616, 082196, 075507,   74.5,  8.093,
0750200612, 082196, 075105,  114.2,  8.060,
0750200611, 082196, 075007,  125.3,  8.034,
0750200610, 082196, 074851,  135.7,  8.034,
0750200608, 082196, 074615,  160.0,  8.023,
0750200607, 082196, 074509,  176.0,  8.007,
0750200606, 082196, 074359,  185.6,  8.007,
0750200605, 082196, 074259,  199.8,  7.994,
0760200624, 100296, 065924,    3.8,  8.118,
0760200622, 100296, 065822,   14.2,  8.118,
0760200620, 100296, 065723,   24.2,  8.118,
0760200619, 100296, 065626,   34.9,  8.117,
0760200618, 100296, 065540,   43.6,  8.116,
0760200617, 100296, 065430,   59.6,  8.113,
0760200615, 100296, 065212,   84.6,  8.070,
0760200614, 100296, 065118,   94.5,  8.069,
0760200613, 100296, 065016,  103.7,  8.057,
0760200612, 100296, 064908,  115.3,  8.043,
0760200611, 100296, 064808,  124.3,  8.034,
0760200610, 100296, 064710,  134.8,  8.037,
0760200609, 100296, 064608,  148.7,  8.021,
0760200608, 100296, 064500,  159.4,  8.005,
0760200607, 100296, 064358,  175.1,  7.992,
0760200606, 100296, 064306,  183.8,  7.978,
0760200605, 100296, 064200,  199.9,  7.975,
0770200422, 103096, 070334,    4.3,  8.114,
0770200419, 103096, 070052,   24.2,  8.113,
0770200418, 103096, 065934,   34.9,  8.112,
0770200417, 103096, 065806,   43.7,  8.113,
0770200416, 103096, 065650,   59.6,  8.114,
0770200415, 103096, 065528,   74.1,  8.108,
0770200414, 103096, 065424,   84.4,  8.078,
0770200413, 103096, 065310,   95.4,  8.052,
0770200412, 103096, 065202,  104.4,  8.037,
0770200411, 103096, 065052,  114.2,  8.025,
0770200410, 103096, 064946,  123.8,  8.018,
0770200409, 103096, 064844,  135.2,  8.008,
0770200408, 103096, 064722,  149.7,  7.997,
0770200407, 103096, 064616,  159.8,  7.995,
0770200406, 103096, 064438,  175.2,  7.986,
0770200405, 103096, 064334,  185.2,  7.984,
0770201019, 103196, 005623,    4.3,  8.116,
0770201009, 103196, 004251,  148.9,  7.986,
0780200124, 121096, 182520,    4.5,  8.101,
0780200621, 121196, 093257,    4.3,  8.102,
0780200620, 121196, 093133,   14.6,  8.101,
0780200618, 121196, 092945,   24.2,  8.103,
0780200617, 121196, 092821,   35.0,  8.103,
0780200616, 121196, 092653,   44.5,  8.102,
0780200615, 121196, 092535,   59.5,  8.102,
0780200614, 121196, 092411,   74.2,  8.103,
0780200613, 121196, 092249,   83.9,  8.103,
0780200612, 121196, 092127,   95.7,  8.102,
0780200611, 121196, 092011,  105.1,  8.062,
0780200610, 121196, 091853,  114.6,  8.044,
0780200609, 121196, 091743,  125.0,  8.036,
0780200608, 121196, 091611,  135.4,  8.026,
0780200607, 121196, 091445,  149.4,  8.006,
0780200606, 121196, 091331,  159.9,  7.991,
0780200605, 121196, 091213,  174.7,  7.976,
0780200604, 121196, 091055,  183.8,  7.966,
0780200603, 121196, 090913,  199.9,  7.953,
0790200622, 010897, 080555,    4.3,  8.094,
0790200621, 010897, 080433,   14.2,  8.093,
0790200618, 010897, 080143,   34.4,  8.091,
0790200617, 010897, 080003,   44.2,  8.088,
0790200616, 010897, 075835,   59.3,  8.073,
0790200615, 010897, 075713,   75.0,  8.062,
0790200614, 010897, 075539,   84.8,  8.063,
0790200613, 010897, 075421,   94.4,  8.055,
0790200612, 010897, 075301,  104.5,  8.046,
0790200611, 010897, 075149,  114.1,  8.035,
0790200610, 010897, 075025,  124.9,  8.024,
0790200609, 010897, 074903,  134.9,  8.015,
0790200608, 010897, 074717,  149.9,  8.005,
0790200607, 010897, 074559,  159.3,  7.997,
0790200606, 010897, 074431,  175.0,  7.986,
0790200605, 010897, 074303,  185.8,  7.975,
0790200604, 010897, 074139,  199.8,  7.962,
0800200622, 021897, 070826,    4.5,  8.070,
0800200621, 021897, 070712,   15.2,  8.074,
0800200619, 021897, 070558,   24.5,  8.073,
0800200618, 021897, 070438,   33.9,  8.071,
0800200617, 021897, 070324,   44.4,  8.070,
0800200616, 021897, 070158,   60.1,  8.074,
0800200615, 021897, 070040,   74.5,  8.068,
0800200614, 021897, 065934,   84.4,  8.072,
0800200613, 021897, 065814,   94.2,  8.071,
0800200612, 021897, 065708,  104.7,  8.059,
0800200611, 021897, 065548,  114.4,  8.067,
0800200610, 021897, 065434,  124.5,  8.061,
0800200609, 021897, 065316,  135.8,  8.062,
0800200608, 021897, 065144,  150.0,  8.054,
0800200607, 021897, 065040,  160.0,  8.037,
0800200606, 021897, 064920,  174.1,  8.036,
0800200605, 021897, 064750,  184.2,  8.003,
0810200622, 031297, 070732,    4.5,  8.072,
0810200621, 031297, 070624,   14.5,  8.067,
0810200619, 031297, 070456,   24.8,  8.054,
0810200618, 031297, 070344,   35.5,  8.039,
0810200617, 031297, 070232,   44.6,  8.057,
0810200616, 031297, 070114,   59.9,  8.053,
0810200615, 031297, 065946,   75.2,  8.044,
0810200614, 031297, 065832,   85.5,  8.045,
0810200612, 031297, 065606,  105.0,  8.040,
0810200611, 031297, 065454,  115.4,  8.027,
0810200610, 031297, 065404,  119.0,  8.030,
0810200609, 031297, 065306,  124.2,  8.025,
0810200608, 031297, 065150,  134.9,  8.017,
0810200607, 031297, 065036,  150.2,  7.959,
0810200606, 031297, 064932,  159.6,  7.952,
0810200605, 031297, 064826,  174.6,  7.945,
0820200622, 040997, 070830,    5.1,  8.064,
0820200621, 040997, 070724,   15.2,  8.064,
0820200619, 040997, 070614,   25.4,  8.066,
0820200618, 040997, 070504,   34.9,  8.063,
0820200617, 040997, 070352,   44.3,  8.064,
0820200615, 040997, 070052,   75.0,  8.012,
0820200614, 040997, 065938,   85.1,  8.004,
0820200613, 040997, 065826,   95.0,  7.980,
0820200612, 040997, 065718,  105.1,  7.968,
0820200611, 040997, 065604,  115.1,  7.961,
0820200610, 040997, 065444,  125.0,  7.956,
0820200609, 040997, 065334,  134.8,  7.944,
0820200608, 040997, 065216,  149.9,  7.928,
0820200607, 040997, 065110,  159.8,  7.916,
0820200606, 040997, 065002,  175.1,  7.909,
0820200605, 040997, 064848,  184.7,  7.902,
0830200624, 050797, 070134,    4.2,  8.096,
0830200623, 050797, 070040,   14.7,  8.096,
0830200622, 050797, 065942,   25.0,  8.095,
0830200620, 050797, 065754,   45.3,  8.095,
0830201016, 050797, 185420,   84.7,  8.090,
0830201015, 050797, 185336,   95.1,  8.084,
0830201013, 050797, 185220,  104.7,  8.076,
0830201012, 050797, 185132,  114.4,  8.069,
0830201010, 050797, 184954,  134.9,  8.056,
0830201009, 050797, 184858,  150.2,  8.050,
0830201008, 050797, 184812,  159.0,  8.045,
0830201007, 050797, 184720,  175.5,  8.012,
0830201006, 050797, 184604,  185.7,  8.013,
0840200622, 060497, 065837,    5.2,  8.105,
0840200621, 060497, 065741,   15.3,  8.105,
0840200619, 060497, 065633,   24.7,  8.104,
0840200618, 060497, 065521,   35.2,  8.104,
0840200617, 060497, 065435,   45.6,  8.105,
0840200616, 060497, 065339,   60.6,  8.100,
0840200614, 060497, 065145,   85.1,  8.098,
0840200613, 060497, 065053,   94.9,  8.093,
0840200612, 060497, 064945,  104.6,  8.081,
0840200610, 060497, 064753,  124.6,  8.053,
0840200609, 060497, 064659,  134.8,  8.025,
