botid, date, time, press, ebact, 
#, mmddyy, hhmmss, dbar, #*1e5/ml, 
0440201312, 012193, 114728,    5.2,  0.008,
0440201311, 012193, 114612,   24.7,  0.012,
0440201310, 012193, 114512,   43.4,  0.013,
0440201309, 012193, 114355,   74.6,  0.010,
0440201308, 012193, 114258,   90.0,  0.009,
0440201306, 012193, 114106,  113.4,  0.006,
0440201305, 012193, 114002,  124.5,  0.005,
0440201304, 012193, 113843,  150.9,  0.002,
0440201303, 012193, 113719,  176.5,  0.000,
0460200924, 041593, 074146,    5.8,  0.003,
0460200923, 041593, 073917,   23.7,  0.003,
0460200922, 041593, 073706,   43.8,  0.002,
0460200921, 041593, 073446,   74.2,  0.006,
0460200920, 041593, 073259,   89.6,  0.006,
0460200919, 041593, 073056,  100.2,  0.031,
0460200918, 041593, 072907,  103.7,  0.029,
0460200917, 041593, 072714,  109.2,  0.020,
0460200911, 041593, 071518,  119.5,  0.026,
0460200909, 041593, 071047,  135.1,  0.027,
0460200908, 041593, 070838,  149.8,  0.011,
0460200903, 041593, 065936,  173.1,  0.004,
0470200324, 052093, 075149,    6.7,  0.002,
0470200323, 052093, 075043,   24.5,  0.008,
0470200322, 052093, 074926,   45.1,  0.008,
0470200321, 052093, 074754,   75.7,  0.008,
0470200320, 052093, 074629,  100.7,  0.005,
0470200319, 052093, 074528,  109.4,  0.022,
0470200318, 052093, 074420,  119.2,  0.008,
0470200317, 052093, 074250,  128.8,  0.016,
0470200316, 052093, 074152,  135.1,  0.016,
0470200310, 052093, 073817,  144.1,  0.014,
0470200309, 052093, 073646,  160.8,  0.008,
0470200308, 052093, 073515,  174.7,  0.003,
0490201723, 091593, 100623,    5.2,  0.003,
0490201721, 091593, 100432,   25.1,  0.004,
0490201719, 091593, 100239,   46.2,  0.003,
0490201716, 091593, 095929,   76.0,  0.002,
0490201714, 091593, 095653,  100.7,  0.006,
0490201713, 091593, 095515,  115.9,  0.007,
0490201712, 091593, 095338,  120.7,  0.008,
0490201711, 091593, 095228,  125.9,  0.006,
0490201710, 091593, 095104,  130.1,  0.005,
0490201709, 091593, 094929,  139.9,  0.005,
0490201708, 091593, 094803,  149.8,  0.002,
0490201706, 091593, 094559,  175.6,  0.002,
0500201419, 103093, 092427,    5.7,  0.003,
0500201418, 103093, 092246,   25.8,  0.005,
0500201417, 103093, 092106,   47.4,  0.007,
0500201415, 103093, 091825,   74.4,  0.007,
0500201414, 103093, 091652,   90.0,  0.005,
0500201413, 103093, 091531,  100.4,  0.016,
