botid, date, time, press, dop, 
#, mmddyy, hhmmss, dbar, umol/kg, 
0530200616, 030994, 060347,   45.5,   0.22,
0530200615, 030994, 060226,   60.1,   0.25,
0530200614, 030994, 060130,   75.0,   0.22,
0530200613, 030994, 060043,   83.3,   0.23,
0530200612, 030994, 055938,   95.2,   0.24,
0530200611, 030994, 055837,  104.9,   0.21,
0530200610, 030994, 055737,  115.9,   0.21,
0530200609, 030994, 055642,  125.8,   0.20,
0530200608, 030994, 055535,  135.0,   0.19,
0530200607, 030994, 055225,  149.2,   0.20,
0530200605, 030994, 055008,  174.7,   0.23,
0530200603, 030994, 054751,  200.4,   0.15,
0540201321, 061994, 230633,    5.1,   0.22,
0540201320, 061994, 230503,   14.9,   0.22,
0540201318, 061994, 230339,   24.7,   0.21,
0540201317, 061994, 230219,   35.3,   0.23,
0540201316, 061994, 230056,   44.6,   0.21,
0540201315, 061994, 225936,   59.7,   0.26,
0540201314, 061994, 225807,   75.4,   0.32,
0540201313, 061994, 225646,   84.7,   0.26,
0540201312, 061994, 225524,   95.7,   0.24,
0540201311, 061994, 225403,  105.1,   0.20,
0540201310, 061994, 225242,  113.8,   0.18,
0540201309, 061994, 225114,  125.3,   0.17,
0540201308, 061994, 224943,  136.6,   0.16,
0540201307, 061994, 224807,  150.6,   0.18,
0540201306, 061994, 224639,  157.4,   0.15,
0540201305, 061994, 224509,  175.1,   0.12,
0540201304, 061994, 224325,  185.2,   0.11,
0540201303, 061994, 224139,  201.4,   0.12,
0550200317, 072594, 045902,  200.4,   0.18,
0550200423, 072594, 080830,    4.7,   0.27,
0550200422, 072594, 080712,   14.8,   0.25,
0550200420, 072594, 080534,   24.6,   0.27,
0550200419, 072594, 080425,   34.2,   0.27,
0550200418, 072594, 080309,   43.8,   0.29,
0550200417, 072594, 080147,   59.8,   0.31,
0550200416, 072594, 080028,   74.3,   0.34,
0550200414, 072594, 075845,   84.3,   0.30,
0550200413, 072594, 075707,   94.9,   0.26,
0550200412, 072594, 075548,  104.2,   0.27,
0550200411, 072594, 075431,  115.3,   0.25,
0550200410, 072594, 075215,  124.2,   0.26,
0550200409, 072594, 075043,  134.4,   0.21,
0550200407, 072594, 074814,  149.6,   0.20,
0550200405, 072594, 074516,  175.0,   0.17,
0550200403, 072594, 074140,  201.3,   0.15,
0560200521, 083094, 064533,    4.5,   0.22,
0560200520, 083094, 064429,   14.6,   0.34,
0560200518, 083094, 064310,   25.2,   0.33,
0560200517, 083094, 064204,   35.2,   0.31,
0560200516, 083094, 064059,   44.6,   0.32,
0560200515, 083094, 063939,   59.6,   0.26,
0560200514, 083094, 063820,   75.9,   0.32,
0560200513, 083094, 063710,   85.0,   0.27,
0560200512, 083094, 063552,   94.4,   0.27,
0560200511, 083094, 063441,  105.5,   0.26,
0560200510, 083094, 063309,  115.0,   0.21,
0560200509, 083094, 063142,  125.1,   0.20,
0560200508, 083094, 063030,  135.4,   0.20,
0560200507, 083094, 062910,  150.4,   0.19,
0560200505, 083094, 062619,  175.6,   0.15,
0560200503, 083094, 062254,  200.7,   0.15,
0570200421, 092394, 080726,    5.4,   0.21,
0570200420, 092394, 080632,   15.1,   0.16,
0570200418, 092394, 080522,   25.0,   0.17,
0570200417, 092394, 080414,   35.0,   0.20,
0570200416, 092394, 080328,   44.6,   0.24,
0570200415, 092394, 080222,   59.9,   0.16,
0570200414, 092394, 080124,   75.2,   0.19,
0570200413, 092394, 080023,   84.9,   0.12,
0570200412, 092394, 075920,   95.1,   0.15,
0570200411, 092394, 075819,  105.2,   0.09,
0570200410, 092394, 075725,  115.6,   0.14,
0570200409, 092394, 075629,  124.1,   0.17,
0570200408, 092394, 075530,  135.5,   0.13,
0570200407, 092394, 075420,  149.6,   0.07,
0570200405, 092394, 075144,  174.4,   0.04,
0580200516, 101594, 063216,    4.4,   0.25,
0580200622, 101594, 090603,    5.0,   0.24,
0580200621, 101594, 090506,   14.6,   0.25,
0580200619, 101594, 090350,   25.0,   0.26,
0580200618, 101594, 090259,   34.3,   0.31,
0580200617, 101594, 090155,   44.6,   0.26,
0580200616, 101594, 090029,   59.5,   0.25,
0580200615, 101594, 085919,   74.5,   0.25,
0580200614, 101594, 085814,   84.2,   0.23,
0580200613, 101594, 085659,   94.7,   0.22,
0580200612, 101594, 085552,  104.7,   0.21,
0580200611, 101594, 085446,  115.3,   0.20,
0580200610, 101594, 085344,  124.7,   0.19,
0580200609, 101594, 085237,  134.8,   0.15,
0580200608, 101594, 085125,  149.5,   0.13,
0580200606, 101594, 084859,  174.4,   0.13,
0580200604, 101594, 084631,  200.8,   0.10,
0590200521, 112094, 074403,    5.3,   0.25,
0590200520, 112094, 074305,   14.8,   0.26,
0590200518, 112094, 074159,   25.2,   0.32,
0590200517, 112094, 074104,   34.2,   0.25,
0590200516, 112094, 074000,   43.2,   0.26,
0590200515, 112094, 073843,   58.7,   0.23,
0590200514, 112094, 073739,   74.0,   0.22,
0590200513, 112094, 073617,   86.5,   0.27,
0590200512, 112094, 073511,   94.9,   0.23,
0590200511, 112094, 073417,  102.3,   0.24,
0590200510, 112094, 073315,  115.7,   0.24,
0590200509, 112094, 073217,  125.2,   0.21,
0590200508, 112094, 073105,  135.4,   0.20,
0590200507, 112094, 072946,  150.6,   0.16,
0590200505, 112094, 072743,  173.0,   0.16,
0590200503, 112094, 072524,  200.0,   0.13,
0600200522, 020695, 075910,    4.9,   0.23,
0600200521, 020695, 075809,   14.9,   0.30,
0600200519, 020695, 075652,   23.2,   0.38,
0600200518, 020695, 075556,   34.1,   0.31,
0600200517, 020695, 075505,   43.8,   0.23,
0600200516, 020695, 075410,   59.8,   0.32,
0600200515, 020695, 075314,   74.9,   0.29,
0600200514, 020695, 075220,   84.8,   0.27,
0600200513, 020695, 075139,   95.5,   0.27,
0600200512, 020695, 075053,  104.3,   0.22,
0600200511, 020695, 075008,  113.5,   0.23,
