botid, date, time, press, pc, 
#, mmddyy, hhmmss, dbar, umol/kg, 
2380200422, 122011, 001157,    5.7,   2.34,
2380200420, 122011, 001026,   24.7,   2.25,
2380200418, 122011, 000827,   43.9,   2.23,
2380200416, 122011, 000636,   73.8,   2.24,
2380200414, 122011, 000510,   99.8,   2.41,
2380200412, 122011, 000334,  123.0,   1.76,
2380200407, 121911, 235849,  199.2,   0.58,
2390200523, 011912, 013223,    5.2,   1.91,
2390200521, 011912, 013043,   25.3,   1.68,
2390200519, 011912, 012833,   45.7,   2.08,
2390200517, 011912, 012643,   76.3,   1.58,
2390200514, 011912, 012424,  100.3,   1.30,
2390200513, 011912, 012253,  127.3,   1.14,
2390200512, 011912, 012119,  147.5,   0.93,
2390200511, 011912, 011943,  176.4,   0.53,
2400200522, 032512, 214201,    4.9,   1.61,
2400200520, 032512, 213926,   25.1,   1.92,
2400200518, 032512, 213740,   46.4,   1.90,
2400200516, 032512, 213511,   75.4,   1.44,
2400200514, 032512, 213309,  101.8,   0.84,
2400200512, 032512, 213120,  125.9,   1.40,
2400200509, 032512, 212925,  150.2,   0.70,
2400200507, 032512, 212731,  175.4,   0.52,
2410200423, 050212, 015600,    4.8,   1.97,
2410200419, 050212, 015415,   25.3,   2.10,
2410200417, 050212, 015240,   44.6,   1.92,
2410200415, 050212, 015104,   75.0,   2.02,
2410200413, 050212, 014915,  100.0,   1.97,
2410200409, 050212, 014550,  152.9,   1.94,
2410200407, 050212, 014349,  174.3,   0.99,
2420200423, 053112, 021713,    5.0,   1.88,
2420200413, 053112, 021358,   25.7,   2.87,
2420200412, 053112, 021238,   45.1,   2.51,
2420200411, 053112, 021108,   75.3,   2.31,
2420200410, 053112, 020943,  100.5,   1.88,
2420200409, 053112, 020813,  125.4,   1.62,
2420200408, 053112, 020639,  152.3,   1.73,
2420200407, 053112, 020513,  174.5,   0.83,
2430200424, 062712, 033423,    5.9,   2.65,
2430200413, 062712, 033124,   23.9,   2.37,
2430200412, 062712, 032923,   43.9,   2.40,
2430200411, 062712, 032723,   74.4,   2.08,
2430200410, 062712, 032539,   99.1,   1.80,
2430200409, 062712, 032353,  125.1,   1.81,
2430200408, 062712, 032213,  148.7,   1.16,
2430200407, 062712, 032018,  174.2,   0.70,
2430200406, 062712, 031813,  199.6,   0.57,
2440200514, 080112, 012457,   10.4,   1.69,
2440200513, 080112, 012336,   25.8,   2.05,
2440200511, 080112, 012101,   75.0,   2.30,
2440200510, 080112, 011947,  100.4,   2.12,
2440200509, 080112, 011833,  125.5,   1.56,
2440200508, 080112, 011706,  150.4,   1.16,
2440200507, 080112, 011547,  175.4,   0.82,
2450200421, 081812, 013740,    5.6,   2.44,
2450200419, 081812, 013548,   24.8,   2.50,
2450200417, 081812, 013412,   45.3,   2.52,
2450200415, 081812, 013206,   75.3,   2.13,
2450200413, 081812, 013007,  100.2,   1.73,
2450200411, 081812, 012806,  125.2,   1.31,
2450200410, 081812, 012611,  150.2,   1.14,
2450200407, 081812, 012411,  175.5,   0.60,
2460200421, 091512, 021335,    7.6,   2.02,
2460200419, 091512, 021219,   25.6,   2.01,
2460200417, 091512, 021114,   44.6,   2.16,
2460200416, 091512, 021013,   75.2,   2.09,
2460200413, 091512, 020859,  100.4,   1.84,
2460200411, 091512, 020759,  125.5,   1.72,
2460200409, 091512, 020655,  150.6,   0.99,
2460200407, 091512, 020529,  174.7,   0.89,
2470200419, 100812, 011605,    5.5,   2.16,
2470200418, 100812, 011410,   25.3,   2.20,
2470200417, 100812, 011250,   45.4,   2.23,
2470200416, 100812, 011120,   75.5,   2.12,
2470200415, 100812, 010940,  100.3,   1.75,
2470200414, 100812, 010810,  124.8,   1.27,
2470200413, 100812, 010640,  150.0,   0.79,
2470200412, 100812, 010510,  175.3,   0.55,
2470200410, 100812, 010340,  200.0,   0.60,
2480200423, 120412, 035027,    6.7,   1.87,
2480200419, 120412, 034756,   26.3,   2.03,
2480200417, 120412, 034606,   46.4,   1.83,
2480200415, 120412, 034221,   75.6,   2.32,
2480200411, 120412, 033901,  124.4,   1.27,
2480200409, 120412, 033722,  151.6,   0.76,
2480200407, 120412, 033536,  176.4,   0.64,
2490200422, 021313, 014037,    7.3,   2.39,
2490200420, 021313, 013647,   24.8,   3.21,
2490200418, 021313, 013507,   45.0,   2.06,
2490200416, 021313, 013246,   75.7,   1.71,
2490200414, 021313, 013057,  100.2,   1.55,
2490200412, 021313, 012857,  126.7,   1.44,
2490200410, 021313, 012707,  149.9,   0.83,
2490200408, 021313, 012457,  175.7,   0.54,
2490200406, 021313, 012248,  200.0,   0.57,
2500200524, 030713, 010127,    5.9,   1.77,
2500200521, 030713, 005827,   25.4,   1.85,
2500200519, 030713, 005647,   45.2,   1.88,
2500200515, 030713, 005257,  101.2,   2.00,
2500200513, 030713, 005117,  124.7,   1.56,
2500200510, 030713, 004937,  150.1,   1.49,
2500200508, 030713, 004757,  175.8,   0.95,
2510200522, 040613, 040246,    5.3,   2.08,
2510200520, 040613, 040106,   26.1,   2.30,
2510200519, 040613, 035926,   45.8,   1.94,
2510200518, 040613, 035726,   75.7,   2.00,
2510200517, 040613, 035536,  101.0,   1.60,
2510200515, 040613, 035325,  124.9,   1.12,
2510200513, 040613, 035116,  150.2,   0.84,
2510200511, 040613, 034915,  175.8,   0.77,
2520200524, 051813, 015518,    7.3,   2.07,
2520200521, 051813, 015028,   23.7,   2.15,
2520200519, 051813, 014828,   45.5,   2.21,
2520200517, 051813, 014618,   75.8,   2.04,
2520200515, 051813, 014418,  101.5,   1.95,
2520200512, 051813, 014118,  125.7,   1.54,
2520200510, 051813, 013938,  150.6,   1.13,
2520200508, 051813, 013728,  173.1,   0.73,
2530200516, 062613, 011848,    7.1,   2.14,
2530200514, 062613, 011618,   25.9,   2.17,
2530200513, 062613, 011448,   45.9,   2.21,
2530200512, 062613, 011307,   75.5,   1.96,
2530200511, 062613, 011138,  101.1,   1.67,
2530200509, 062613, 010928,  125.4,   1.43,
2530200508, 062613, 010808,  150.3,   1.31,
2530200507, 062613, 010648,  175.5,   0.62,
2540200414, 091213, 014033,   11.0,   2.86,
2540200412, 091213, 013620,   45.0,   2.55,
2540200411, 091213, 013430,   74.7,   1.97,
2540200410, 091213, 013255,   99.8,   1.33,
2540200409, 091213, 013115,  125.5,   0.90,
2540200408, 091213, 012940,  151.6,   0.62,
2550200422, 100213, 014759,    7.9,   2.59,
2550200421, 100213, 014353,   25.4,   2.73,
2550200420, 100213, 014203,   45.7,   2.73,
2550200419, 100213, 013947,   76.5,   2.51,
2550200418, 100213, 013752,  100.1,   1.69,
2550200417, 100213, 013613,  125.0,   1.16,
2550200416, 100213, 013443,  150.3,   0.80,
2550200415, 100213, 013303,  175.2,   0.58,
2560200422, 102813, 013946,    7.7,   2.54,
2560200421, 102813, 013656,   25.3,   2.53,
2560200420, 102813, 013515,   45.4,   2.29,
2560200419, 102813, 013315,   75.1,   2.05,
2560200418, 102813, 013135,  100.0,   1.46,
2560200417, 102813, 013015,  124.9,   1.00,
2560200416, 102813, 012855,  150.7,   0.68,
2560200415, 102813, 012725,  175.1,   0.61,
2570200418, 112713, 011828,    7.1,   2.27,
2570200414, 112713, 011518,   25.1,   2.15,
2570200412, 112713, 011347,   45.1,   2.33,
2570200411, 112713, 011217,   74.3,   2.09,
2570200409, 112713, 010927,  125.4,   1.15,
2570200408, 112713, 010808,  150.6,   0.65,
2570200407, 112713, 010657,  174.9,   0.62,
2580200414, 122113, 020659,    8.1,   1.51,
2580200413, 122113, 020500,   25.5,   2.12,
2580200412, 122113, 020314,   46.3,   2.72,
2580200411, 122113, 020104,   75.6,   1.71,
2580200410, 122113, 015914,   99.7,   1.22,
2580200409, 122113, 015744,  125.7,   0.77,
2580200408, 122113, 015619,  148.6,   0.51,
2580200407, 122113, 015504,  175.2,   0.58,
2590200424, 011614, 020153,    8.0,   1.84,
2590200417, 011614, 015923,   25.8,   1.68,
2590200416, 011614, 015802,   45.1,   1.87,
2590200415, 011614, 015622,   75.3,   1.59,
2590200414, 011614, 015442,  100.5,   1.72,
2590200413, 011614, 015303,  126.0,   1.54,
2590200412, 011614, 015142,  150.6,   0.76,
2590200411, 011614, 015002,  175.2,   0.90,
2590200408, 011614, 014812,  200.0,   0.47,
2600200414, 021514, 021442,    6.2,   1.58,
2600200413, 021514, 021212,   26.0,   1.58,
2600200411, 021514, 020751,   76.1,   1.60,
2600200410, 021514, 020603,  100.7,   1.38,
2600200409, 021514, 020408,  127.0,   0.92,
2600200408, 021514, 020232,  150.7,   0.77,
2600200407, 021514, 020050,  175.9,   0.66,
2610200413, 030614, 014002,    5.3,   1.92,
2610200412, 030614, 013831,   25.0,   2.21,
2610200411, 030614, 013707,   46.4,   2.14,
2610200410, 030614, 013542,   76.1,   1.97,
2610200409, 030614, 013401,  100.1,   1.81,
2610200408, 030614, 013131,  150.8,   0.88,
2630200314, 060114, 010950,    4.8,   2.52,
2630200313, 060114, 010805,   26.3,   2.32,
2630200312, 060114, 010635,   44.3,   2.15,
2630200311, 060114, 010450,   75.1,   2.04,
2630200310, 060114, 010305,   99.1,   1.80,
2630200309, 060114, 010135,  125.0,   1.63,
2630200308, 060114, 005950,  154.6,   0.86,
2630200307, 060114, 005805,  174.9,   0.67,
2630200306, 060114, 005626,  199.3,   0.58,
2640200420, 070114, 013703,    4.9,   2.35,
2640200419, 070114, 013528,   24.7,   2.61,
2640200418, 070114, 013414,   44.5,   2.37,
2640200416, 070114, 013140,   75.0,   2.26,
2640200414, 070114, 012958,  100.1,   1.86,
2640200413, 070114, 012838,  125.7,   1.67,
2640200412, 070114, 012714,  150.4,   1.16,
2640200411, 070114, 012558,  175.4,   0.77,
2650200421, 091514, 010947,    5.0,   2.85,
2650200418, 091514, 010713,   23.4,   2.72,
2650200416, 091514, 010550,   45.2,   2.43,
2650200414, 091514, 010418,   75.4,   2.33,
2650200412, 091514, 010254,  100.1,   1.71,
2650200410, 091514, 010135,  124.8,   1.26,
2650200408, 091514, 005953,  150.3,   0.81,
2650200407, 091514, 005818,  174.8,   1.07,
2660200422, 101414, 013752,    7.1,   3.16,
2660200420, 101414, 013524,   25.4,   2.86,
2660200417, 101414, 013124,   75.1,   2.95,
2660200416, 101414, 012945,  100.4,   2.02,
2660200414, 101414, 012805,  124.5,   1.18,
2660200412, 101414, 012525,  175.2,   1.03,
2670200422, 112214, 012756,    7.8,   2.58,
2670200420, 112214, 012547,   24.8,   2.87,
2670200419, 112214, 012411,   45.3,   2.60,
2670200417, 112214, 012146,   75.6,   2.25,
2670200416, 112214, 012001,  100.0,   2.27,
2670200414, 112214, 011751,  125.3,   1.17,
2670200413, 112214, 011622,  150.8,   0.85,
2670200412, 112214, 011452,  175.1,   1.28,
2680200417, 121714, 031434,    7.4,   1.97,
2680200415, 121714, 031304,   23.9,   2.04,
2680200413, 121714, 031138,   45.2,   2.10,
2680200411, 121714, 030949,   74.0,   1.82,
2680200410, 121714, 030819,   99.7,   2.04,
2680200409, 121714, 030719,  123.5,   1.29,
2680200408, 121714, 030613,  149.7,   0.66,
2680200407, 121714, 030508,  173.7,   0.71,
2680200406, 121714, 030403,  199.1,   0.67,
