botid, date, time, press, pbact, 
#, mmddyy, hhmmss, dbar, #*1e5/ml, 
0560201412, 083194, 095853,  149.6,  0.089,
0560201411, 083194, 095718,  165.6,  0.062,
0560201410, 083194, 095608,  174.8,  0.058,
0570201216, 092494, 080853,    5.7,  1.949,
0570201214, 092494, 080720,   25.5,  2.021,
0570201213, 092494, 080536,   45.7,  2.085,
0570201212, 092494, 080321,   75.6,  2.100,
0570201211, 092494, 080221,   85.3,  2.018,
0570201210, 092494, 080122,   95.3,  1.935,
0570201209, 092494, 080027,  100.5,  1.743,
0570201208, 092494, 075932,  111.7,  0.971,
0570201207, 092494, 075818,  126.1,  0.487,
0570201206, 092494, 075703,  150.9,  0.154,
0570201205, 092494, 075551,  174.6,  0.018,
0580201512, 101694, 111329,    5.0,  1.823,
0580201511, 101694, 111154,   24.5,  1.900,
0580201510, 101694, 111020,   45.6,  2.150,
0580201509, 101694, 110829,   75.5,  2.299,
0580201508, 101694, 110651,  101.2,  1.477,
0580201507, 101694, 110512,  125.8,  0.499,
0580201506, 101694, 110329,  151.7,  0.116,
0580201505, 101694, 110137,  177.8,  0.010,
0590200615, 112094, 104440,    5.6,  1.844,
0590200614, 112094, 104245,   26.1,  1.736,
0590200613, 112094, 104124,   45.9,  1.778,
0590200612, 112094, 103940,   76.1,  1.637,
0590200611, 112094, 103831,   90.1,  1.247,
0590200610, 112094, 103728,   99.4,  0.885,
0590200609, 112094, 103625,  109.9,  0.341,
0590200608, 112094, 103511,  128.6,  0.151,
0590200607, 112094, 103245,  149.4,  0.019,
0590200606, 112094, 103116,  175.9,  0.000,
0600200616, 020795, 091418,    5.6,  1.541,
0600200614, 020795, 091236,   24.5,  1.627,
0600200613, 020795, 091056,   44.8,  1.638,
0600200612, 020795, 090835,   75.7,  2.224,
0600200611, 020795, 090629,  101.2,  2.037,
0600200610, 020795, 090507,  114.2,  1.506,
0600200609, 020795, 090353,  123.9,  0.783,
0600200608, 020795, 090257,  134.3,  0.520,
0600200607, 020795, 090202,  140.8,  0.432,
0600200606, 020795, 090059,  150.9,  0.239,
0600200605, 020795, 085929,  174.6,  0.075,
0610201312, 030595, 114219,    4.8,  2.232,
0610201311, 030595, 114027,   25.4,  2.172,
0610201310, 030595, 113845,   44.8,  2.284,
0610201309, 030595, 113709,   74.5,  0.962,
0610201308, 030595, 113520,  100.8,  0.492,
