botid, date, time, press, pe5, 
#, mmddyy, hhmmss, dbar, ng/l, 
1170201021, 072700, 015243,    4.3,   2.32,
1170201019, 072700, 015125,   14.4,   0.65,
1170201017, 072700, 015004,   24.4,   2.31,
1170201015, 072700, 014840,   35.5,   4.63,
1170201013, 072700, 014720,   44.3,   2.46,
1170201009, 072700, 014516,   59.5,   1.40,
1170201008, 072700, 014404,   75.9,   0.13,
1170201006, 072700, 014213,  103.3,   0.00,
1170201005, 072700, 014054,  123.6,   0.04,
1170201003, 072700, 013925,  150.5,   0.03,
1180201215, 082300, 214644,    4.2,   0.00,
1180201214, 082300, 214541,   13.7,   0.23,
1180201212, 082300, 214432,   25.0,   0.42,
1180201211, 082300, 214337,   34.7,   0.00,
1180201210, 082300, 214327,   34.7,   0.00,
1180201209, 082300, 214317,   34.9,   0.00,
1180201207, 082300, 214121,   50.7,   0.21,
1180201206, 082300, 214006,   80.0,   0.00,
1180201205, 082300, 213956,   80.0,   0.29,
1180201204, 082300, 213946,   79.8,   0.03,
1180201203, 082300, 213815,  115.4,   0.00,
1190200622, 101800, 070110,    5.6,   1.27,
1190200620, 101800, 065941,   14.5,   1.27,
1190200619, 101800, 065819,   24.9,   1.28,
1190200615, 101800, 065524,   34.5,   1.13,
1190200614, 101800, 065510,   34.3,   1.40,
1190200613, 101800, 065456,   34.3,   1.14,
1190200611, 101800, 065228,   50.0,   1.40,
1190200608, 101800, 064803,   79.7,   1.05,
1190200607, 101800, 064748,   79.8,   1.53,
1190200606, 101800, 064734,   79.5,   1.33,
1190200603, 101800, 064412,  124.9,   1.26,
1190200602, 101800, 064231,  151.6,   1.21,
1200201022, 113000, 185226,    4.4,   0.44,
1200201021, 113000, 185131,   14.3,   0.11,
1200201020, 113000, 185036,   24.4,   0.85,
1200201018, 113000, 184922,   35.0,   0.54,
1200201017, 113000, 184911,   35.0,   0.48,
1200201016, 113000, 184821,   44.4,   0.83,
1200201015, 113000, 184717,   59.8,   0.51,
1200201014, 113000, 184611,   73.8,   0.75,
1200201012, 113000, 184447,   99.9,   0.54,
1200201010, 113000, 184301,  124.1,   0.64,
1200201009, 113000, 184152,  148.5,   0.40,
1200201008, 113000, 184031,  174.6,   0.42,
1210201119, 122000, 190304,    3.6,   0.00,
1210201117, 122000, 190204,   14.6,   0.58,
1210201116, 122000, 190109,   24.1,   0.19,
1210201114, 122000, 185939,   34.4,   0.43,
1210201113, 122000, 185929,   34.4,   0.69,
1210201111, 122000, 185819,   43.9,   0.00,
1210201109, 122000, 185704,   59.8,   0.00,
1210201107, 122000, 185554,   74.1,   0.32,
1210201106, 122000, 185444,   99.8,   0.00,
1210201105, 122000, 185334,  123.9,   0.00,
1210201104, 122000, 185219,  149.5,   0.35,
1210201103, 122000, 185054,  175.9,   0.13,
1220200314, 011601, 214606,    3.3,   0.35,
1220200313, 011601, 214526,   13.7,   0.27,
1220200312, 011601, 214441,   23.5,   0.08,
1220200311, 011601, 214346,   33.6,   0.18,
1220200310, 011601, 214336,   33.7,   0.15,
1220200309, 011601, 214251,   43.6,   0.62,
1220200308, 011601, 214206,   57.6,   0.67,
1220200307, 011601, 214116,   74.2,   0.26,
1220200306, 011601, 214026,   98.2,   0.91,
1220200305, 011601, 213926,  124.1,   0.00,
1220200304, 011601, 213828,  148.0,   0.00,
1220200303, 011601, 213711,  174.2,   0.22,
1230200522, 021501, 081845,    4.4,   0.10,
1230200521, 021501, 081734,   13.9,   0.00,
1230200519, 021501, 081634,   23.8,   0.08,
1230200518, 021501, 081544,   34.1,   0.00,
1230200517, 021501, 081534,   34.5,   0.39,
1230200516, 021501, 081444,   45.0,   0.13,
