botid, date, time, press, hbact, 
#, mmddyy, hhmmss, dbar, #*1e5/ml, 
2670200120, 112114, 125007,    6.9,  5.039,
2670200117, 112114, 124812,   25.4,  4.802,
2670200114, 112114, 124623,   44.7,  5.433,
2670200111, 112114, 124413,   74.4,  5.304,
2670200108, 112114, 124207,  100.4,  3.695,
2670200105, 112114, 124002,  125.4,  2.998,
2670200104, 112114, 123809,  150.3,  2.703,
2670200103, 112114, 123622,  175.9,  2.625,
2680200120, 121614, 130809,    7.4,  4.922,
2680200117, 121614, 130534,   25.1,  4.940,
2680200114, 121614, 130354,   44.5,  4.665,
2680200111, 121614, 130200,   75.3,  5.692,
2680200108, 121614, 130014,  100.6,  3.597,
2680200105, 121614, 125829,  125.5,  3.204,
2680200104, 121614, 125704,  149.2,  2.577,
2680200103, 121614, 125534,  175.5,  2.174,
