botid, date, time, press, chl, 
#, mmddyy, hhmmss, dbar, ug/l, 
0490200714, 091493, 062137,   96.4,   0.21,
0490200713, 091493, 061950,  105.9,   0.22,
0490200712, 091493, 061805,  116.2,   0.20,
0490200710, 091493, 061437,  125.6,   0.17,
0490200708, 091493, 061111,  136.3,   0.15,
0490200707, 091493, 060857,  154.2,   0.08,
0490200706, 091493, 060655,  158.0,   0.07,
0490200705, 091493, 060454,  177.7,   0.02,
0490210008, 091493, -00009,    5.0,   0.07,
0490210007, 091493, -00009,   25.0,   0.07,
0490210006, 091493, -00009,   45.0,   0.08,
0490210005, 091493, -00009,   75.0,   0.13,
0490210004, 091493, -00009,  100.0,   0.21,
0490210003, 091493, -00009,  125.0,   0.20,
0490210002, 091493, -00009,  150.0,   0.13,
0490210001, 091493, -00009,  175.0,   0.08,
0500200623, 102993, 074530,    7.1,   0.08,
0500200622, 102993, 074421,   17.2,   0.08,
0500200620, 102993, 074255,   27.1,   0.08,
0500200619, 102993, 074117,   37.3,   0.07,
0500200618, 102993, 074000,   48.4,   0.08,
0500200617, 102993, 073831,   58.5,   0.09,
0500200616, 102993, 073558,   80.3,   0.13,
0500200615, 102993, 073442,   78.9,   0.14,
0500200614, 102993, 073318,   93.4,   0.17,
0500200613, 102993, 073200,  105.2,   0.21,
0500200612, 102993, 073009,  117.8,   0.21,
0500200610, 102993, 072754,  125.0,   0.19,
0500200608, 102993, 072512,  138.4,   0.14,
0500200607, 102993, 072336,  148.9,   0.06,
0500200606, 102993, 072201,  163.4,   0.07,
0500200605, 102993, 072023,  176.8,   0.02,
0500200604, 102993, 071824,  182.6,   0.01,
0500200603, 102993, 071650,  197.4,   0.01,
0500210008, 102993, -00009,    5.0,   0.07,
0500210007, 102993, -00009,   25.0,   0.08,
0500210006, 102993, -00009,   45.0,   0.06,
0500210005, 102993, -00009,   75.0,   0.14,
0500210004, 102993, -00009,  100.0,   0.17,
0500210003, 102993, -00009,  125.0,   0.13,
0500210002, 102993, -00009,  150.0,   0.03,
0500210001, 102993, -00009,  175.0,   0.02,
0510200422, 012094, 091215,    7.5,   0.13,
0510200421, 012094, 091156,   17.1,   0.13,
0510200419, 012094, 090954,   27.3,   0.12,
0510200418, 012094, 090940,   36.7,   0.13,
0510200416, 012094, 090726,   62.9,   0.14,
0510200415, 012094, 090613,   76.6,   0.14,
0510200414, 012094, 090504,   85.8,   0.17,
0510200413, 012094, 090409,   96.1,   0.20,
0510200412, 012094, 090312,  106.4,   0.20,
0510200411, 012094, 090218,  114.6,   0.16,
0510200410, 012094, 090118,  125.7,   0.13,
0510200409, 012094, 090023,  136.4,   0.11,
0510200408, 012094, 085920,  153.1,   0.07,
0510200407, 012094, 085751,  163.9,   0.05,
0510200406, 012094, 085648,  168.8,   0.04,
0510201317, 012194, 134205,    7.1,   0.14,
0510201315, 012194, 134004,   27.0,   0.14,
0510201314, 012194, 133847,   46.3,   0.14,
0510201312, 012194, 133607,   75.0,   0.14,
0510201311, 012194, 133448,   89.6,   0.14,
0510201310, 012194, 133335,  100.1,   0.16,
0510201309, 012194, 133208,  116.0,   0.15,
0510201308, 012194, 133058,  126.1,   0.13,
0510201307, 012194, 132951,  135.3,   0.12,
0510201306, 012194, 132820,  148.8,   0.06,
0510201305, 012194, 132635,  173.7,   0.02,
0510210008, 012094, -00009,    5.0,   0.14,
0510210007, 012094, -00009,   25.0,   0.12,
0510210006, 012094, -00009,   45.0,   0.13,
0510210005, 012094, -00009,   75.0,   0.14,
0510210004, 012094, -00009,  100.0,   0.17,
0510210003, 012094, -00009,  125.0,   0.15,
0510210002, 012094, -00009,  150.0,   0.13,
0510210001, 012094, -00009,  175.0,   0.14,
0520200418, 021794, 040115,  174.9,   0.06,
0520200416, 021794, 035901,  199.0,   0.03,
0520200516, 021794, 065604,   15.0,   0.14,
0520200515, 021794, 065455,   25.4,   0.15,
0520200514, 021794, 065351,   35.0,   0.17,
0520200513, 021794, 065249,   44.9,   0.20,
0520200512, 021794, 065129,   61.4,   0.19,
0520200511, 021794, 065000,   77.8,   0.21,
0520200510, 021794, 064852,   85.6,   0.21,
0520200509, 021794, 064752,   95.4,   0.20,
0520200508, 021794, 064651,  106.1,   0.23,
0520200507, 021794, 064545,  114.4,   0.22,
0520200506, 021794, 064445,  125.5,   0.22,
