botid, date, time, press, dic, 
#, mmddyy, hhmmss, dbar, umol/kg, 
0560200519, 083094, 064327,   25.2,  1953.7,
0560200517, 083094, 064204,   35.2,  1952.7,
0560200516, 083094, 064059,   44.6,  1954.0,
0560200515, 083094, 063939,   59.6,  1968.8,
0560200514, 083094, 063820,   75.9,  1979.4,
0560200513, 083094, 063710,   85.0,  1982.6,
0560200512, 083094, 063552,   94.4,  1993.7,
0560200511, 083094, 063441,  105.5,  2006.0,
0560200510, 083094, 063309,  115.0,  2018.7,
0560200509, 083094, 063142,  125.1,  2024.1,
0560200508, 083094, 063030,  135.4,  2030.6,
0560200507, 083094, 062910,  150.4,  2032.5,
0560200506, 083094, 062806,  159.3,  2022.5,
0560200505, 083094, 062619,  175.6,  2038.4,
0560200504, 083094, 062448,  184.7,  2039.8,
0560201306, 083194, 064931,    4.6,  1952.5,
0560201305, 083194, 064747,   24.6,  1952.6,
0570200422, 092394, 080740,    5.4,  1952.8,
0570200419, 092394, 080533,   25.2,  1953.4,
0570200417, 092394, 080414,   35.0,  1953.0,
0570200416, 092394, 080328,   44.6,  1954.4,
0570200415, 092394, 080222,   59.9,  1962.3,
0570200414, 092394, 080124,   75.2,  1970.9,
0570200413, 092394, 080023,   84.9,  1973.0,
0570200412, 092394, 075920,   95.1,  1982.6,
0570200411, 092394, 075819,  105.2,  1992.1,
0570200410, 092394, 075725,  115.6,  1992.1,
0570200409, 092394, 075629,  124.1,  2001.8,
0570200408, 092394, 075530,  135.5,  2009.6,
0570200407, 092394, 075420,  149.6,  2015.1,
0570200406, 092394, 075322,  158.7,  2019.5,
0570200405, 092394, 075144,  174.4,  2028.3,
0570200404, 092394, 075036,  184.7,  2031.1,
0570201924, 092594, 053549,    5.0,  1952.7,
0570201923, 092594, 053425,   24.6,  1952.6,
0580200623, 101594, 090630,    5.0,  1958.6,
0580200619, 101594, 090350,   25.0,  1958.9,
0580200618, 101594, 090259,   34.3,  1959.0,
0580200617, 101594, 090155,   44.6,  1957.8,
0580200616, 101594, 090029,   59.5,  1959.4,
0580200615, 101594, 085919,   74.5,  1967.0,
0580200614, 101594, 085814,   84.2,  1973.7,
0580200613, 101594, 085659,   94.7,  1985.1,
0580200612, 101594, 085552,  104.7,  1988.1,
0580200611, 101594, 085446,  115.3,  1998.8,
0580200610, 101594, 085344,  124.7,  2006.7,
0580200609, 101594, 085237,  134.8,  2018.3,
0580200608, 101594, 085125,  149.5,  2023.2,
0580200607, 101594, 085008,  159.4,  2027.8,
0580200606, 101594, 084859,  174.4,  2030.5,
0580200605, 101594, 084753,  185.4,  2034.5,
0580201306, 101694, 055345,    4.9,  1961.2,
0580201305, 101694, 055225,   25.0,  1959.5,
0590200521, 112094, 074403,    5.3,  1965.5,
0590200518, 112094, 074159,   25.2,  1962.9,
0590200517, 112094, 074104,   34.2,  1966.1,
0590200516, 112094, 074000,   43.2,  1964.5,
0590200515, 112094, 073843,   58.7,  1966.0,
0590200514, 112094, 073739,   74.0,  1966.0,
0590200513, 112094, 073617,   86.5,  1969.0,
0590200512, 112094, 073511,   94.9,  1989.5,
0590200511, 112094, 073417,  102.3,  1996.9,
0590200510, 112094, 073315,  115.7,  2005.4,
0590200509, 112094, 073217,  125.2,  2013.8,
0590200508, 112094, 073105,  135.4,  2015.4,
0590200507, 112094, 072946,  150.6,  2024.6,
0590200506, 112094, 072848,  159.8,  2026.8,
0590200505, 112094, 072743,  173.0,  2034.2,
0590200504, 112094, 072631,  185.0,  2043.5,
0590201224, 112194, 043911,    4.6,  1965.7,
0590201221, 112194, 043635,   25.8,  1965.2,
0600200523, 020695, 075919,    5.0,  1939.9,
0600200520, 020695, 075712,   23.4,  1940.4,
0600200518, 020695, 075556,   34.1,  1940.4,
0600200517, 020695, 075505,   43.8,  1942.9,
0600200516, 020695, 075410,   59.8,  1957.0,
0600200515, 020695, 075314,   74.9,  1963.6,
0600200514, 020695, 075220,   84.8,  1971.7,
0600200513, 020695, 075139,   95.5,  1967.9,
0600200512, 020695, 075053,  104.3,  1977.0,
0600200511, 020695, 075008,  113.5,  1985.5,
0600200509, 020695, 074812,  123.8,  1996.3,
0600200508, 020695, 074717,  133.6,  2008.0,
0600200507, 020695, 074619,  149.8,  2015.5,
0600200506, 020695, 074522,  160.2,  2027.6,
0600200505, 020695, 074424,  175.1,  2052.1,
0600200504, 020695, 074333,  184.4,  2050.4,
0600200503, 020695, 074227,  199.5,  2049.8,
0600200617, 020795, 091424,    5.6,  1942.2,
0600200615, 020795, 091242,   24.6,  1944.6,
0610200423, 030495, 080049,    5.5,  1961.7,
0610200420, 030495, 075830,   25.5,  1961.8,
0610200418, 030495, 075717,   34.0,  1962.6,
0610200417, 030495, 075600,   44.7,  1986.8,
0610200416, 030495, 075458,   57.9,  1996.8,
0610200415, 030495, 075325,   78.0,  2004.5,
0610200414, 030495, 075206,   85.2,  2006.2,
0610200413, 030495, 075058,   96.0,  2012.5,
0610200412, 030495, 074941,  106.3,  2030.9,
0610200411, 030495, 074833,  111.9,  2022.9,
0610200410, 030495, 074728,  123.6,  2033.7,
0610200409, 030495, 074631,  134.2,  2027.7,
0610200407, 030495, 074441,  149.2,  2029.3,
0610200406, 030495, 074336,  161.3,  2042.9,
0610200405, 030495, 074228,  174.9,  2043.7,
0610200404, 030495, 074124,  184.9,  2043.8,
0610200403, 030495, 074008,  200.0,  2050.2,
0610201208, 030595, 083620,    4.7,  1964.8,
0610201207, 030595, 083439,   25.1,  1964.5,
0620200522, 040695, 070440,    4.4,  1953.0,
0620200519, 040695, 070203,   25.1,  1952.2,
0620200517, 040695, 070056,   33.6,  1951.7,
0620200516, 040695, 065950,   44.8,  1951.9,
0620200514, 040695, 065730,   75.2,  1959.9,
0620200513, 040695, 065630,   84.9,  1961.4,
0620200512, 040695, 065535,   93.3,  1965.4,
0620200511, 040695, 065436,  104.5,  1967.7,
0620200510, 040695, 065334,  114.4,  1973.5,
0620200509, 040695, 065236,  124.0,  1979.2,
0620200508, 040695, 065134,  134.9,  1985.8,
0620200507, 040695, 065029,  149.2,  1988.7,
0620200506, 040695, 064937,  160.2,  1993.7,
0620200505, 040695, 064840,  173.8,  2001.1,
0620200504, 040695, 064737,  183.6,  2005.0,
0620201305, 040795, 074422,    4.5,  1951.9,
0620201304, 040795, 074313,   24.8,  1951.0,
0630200523, 050795, 090218,    5.0,  1960.5,
0630200519, 050795, 085938,   24.7,  1961.1,
0630200518, 050795, 085836,   34.3,  1961.1,
0630200517, 050795, 085729,   45.0,  1963.2,
0630200516, 050795, 085622,   59.5,  1974.0,
0630200515, 050795, 085509,   75.6,  1979.5,
0630200514, 050795, 085413,   84.3,  1980.4,
0630200513, 050795, 085308,   95.2,  1982.4,
0630200512, 050795, 085209,  104.8,  1986.0,
0630200511, 050795, 085115,  115.0,  1988.3,
0630200510, 050795, 085019,  124.3,  1996.9,
0630200509, 050795, 084919,  135.3,  2001.9,
0630200508, 050795, 084817,  149.8,  2004.1,
0630200507, 050795, 084717,  159.4,  2013.9,
0630200506, 050795, 084608,  174.7,  2023.5,
0630200505, 050795, 084512,  184.9,  2030.1,
0640200523, 073095, 082954,    5.0,  1963.3,
0640200520, 073095, 082736,   24.4,  1964.0,
0640200519, 073095, 082630,   35.0,  1964.0,
0640200518, 073095, 082510,   45.1,  1964.1,
0640200517, 073095, 082351,   60.1,  1965.8,
0640200516, 073095, 082228,   74.9,  1977.4,
0640200515, 073095, 082120,   85.0,  1980.8,
0640200514, 073095, 082010,   95.6,  1987.2,
0640200513, 073095, 081900,  104.7,  1991.1,
0640200512, 073095, 081744,  114.6,  1996.5,
0640200511, 073095, 081623,  124.5,  1999.7,
0640200510, 073095, 081525,  133.8,  2004.3,
0640200509, 073095, 081405,  149.5,  2013.1,
0640200508, 073095, 081245,  160.7,  2019.7,
0640200507, 073095, 081110,  174.3,  2022.8,
0640200506, 073095, 081001,  183.9,  2023.6,
0640201324, 073195, 120909,    4.0,  1957.5,
0640201322, 073195, 120743,   24.7,  1960.1,
0650200423, 082895, 073257,    4.7,  1960.8,
0650200420, 082895, 073055,   25.0,  1960.5,
0650200419, 082895, 073001,   44.3,  1963.8,
0650200418, 082895, 072909,   60.3,  1972.7,
0650200417, 082895, 072757,   74.4,  1984.0,
0650200416, 082895, 072658,   84.3,  1993.8,
0650200414, 082895, 072458,   94.7,  1996.6,
0650200412, 082895, 072300,  105.2,  2000.4,
0650200411, 082895, 072154,  114.8,  2006.6,
0650200410, 082895, 072100,  124.8,  2015.2,
0650200409, 082895, 072010,  135.4,  2018.7,
0650200408, 082895, 071859,  149.6,  2030.2,
0650200407, 082895, 071759,  160.0,  2030.4,
0650200406, 082895, 071658,  173.3,  2032.5,
0650200405, 082895, 071602,  184.8,  2036.6,
0650201213, 082995, 073242,    5.1,  1961.3,
0650201211, 082995, 073048,   26.3,  1961.4,
0660200416, 092795, 040201,  199.9,  2029.5,
0660200522, 092795, 070151,    5.0,  1955.2,
0660200519, 092795, 065939,   24.8,  1955.8,
0660200518, 092795, 065849,   35.0,  1956.3,
0660200517, 092795, 065800,   45.5,  1960.5,
0660200516, 092795, 065649,   60.4,  1959.5,
0660200515, 092795, 065545,   74.5,  1983.7,
0660200514, 092795, 065455,   85.0,  1990.9,
0660200513, 092795, 065356,   93.9,  1999.9,
0660200512, 092795, 065311,  104.1,  2001.8,
0660200511, 092795, 065209,  114.4,  2009.9,
0660200510, 092795, 065114,  124.0,  2018.8,
0660200509, 092795, 065021,  134.1,  2021.6,
0660200508, 092795, 064910,  149.1,  2029.5,
0660200507, 092795, 064810,  160.5,  2025.6,
0660200506, 092795, 064703,  174.4,  2028.5,
0660200505, 092795, 064605,  185.1,  2028.9,
0660201313, 092895, 065942,    5.3,  1958.2,
0660201312, 092895, 065812,   25.0,  1956.8,
0670200515, 102795, 025759,  199.4,  2048.5,
0670200621, 102795, 060555,    4.6,  1962.3,
0670200618, 102795, 060354,   24.4,  1962.3,
0670200617, 102795, 060244,   44.3,  1963.7,
0670200616, 102795, 060053,   59.4,  1966.0,
0670200615, 102795, 055948,   75.0,  1964.7,
0670200614, 102795, 055845,   84.9,  1972.5,
0670200612, 102795, 055651,  104.1,  1995.1,
0670200611, 102795, 055549,  114.9,  2006.6,
0670200610, 102795, 055453,  124.8,  2004.0,
0670200609, 102795, 055349,  134.7,  2016.5,
0670200608, 102795, 055252,  149.1,  2006.5,
0670200607, 102795, 055157,  158.3,  2022.9,
0670200606, 102795, 055045,  174.3,  2022.4,
0670200605, 102795, 054953,  185.0,  2029.8,
0680200622, 111795, 060149,    5.0,  1957.3,
0680200619, 111795, 055913,   24.0,  1956.7,
0680200618, 111795, 055807,   34.5,  1958.4,
0680200617, 111795, 055708,   44.3,  1957.5,
0680200616, 111795, 055605,   60.9,  1963.7,
0680200615, 111795, 055436,   74.5,  1986.9,
