botid, date, time, press, alk, 
#, mmddyy, hhmmss, dbar, ueq/kg, 
0560200513, 083094, 063710,   85.0,  2306,
0560200512, 083094, 063552,   94.4,  2308,
0560200511, 083094, 063441,  105.5,  2316,
0560200510, 083094, 063309,  115.0,  2309,
0560200509, 083094, 063142,  125.1,  2307,
0560200507, 083094, 062910,  150.4,  2307,
0560200506, 083094, 062806,  159.3,  2304,
0560200505, 083094, 062619,  175.6,  2300,
0560200504, 083094, 062448,  184.7,  2295,
0560201306, 083194, 064931,    4.6,  2284,
0560201305, 083194, 064747,   24.6,  2286,
0570200422, 092394, 080740,    5.4,  2289,
0570200419, 092394, 080533,   25.2,  2289,
0570200417, 092394, 080414,   35.0,  2290,
0570200416, 092394, 080328,   44.6,  2292,
0570200415, 092394, 080222,   59.9,  2297,
0570200414, 092394, 080124,   75.2,  2305,
0570200413, 092394, 080023,   84.9,  2301,
0570200412, 092394, 075920,   95.1,  2306,
0570200411, 092394, 075819,  105.2,  2309,
0570200410, 092394, 075725,  115.6,  2309,
0570200409, 092394, 075629,  124.1,  2312,
0570200408, 092394, 075530,  135.5,  2314,
0570200407, 092394, 075420,  149.6,  2313,
0570200406, 092394, 075322,  158.7,  2317,
0570200405, 092394, 075144,  174.4,  2314,
0570200404, 092394, 075036,  184.7,  2311,
0570200403, 092394, 074918,  200.0,  2304,
0570201924, 092594, 053549,    5.0,  2290,
0570201923, 092594, 053425,   24.6,  2291,
0580200619, 101594, 090350,   25.0,  2304,
0580200618, 101594, 090259,   34.3,  2301,
0580200617, 101594, 090155,   44.6,  2286,
0580200616, 101594, 090029,   59.5,  2298,
0580200615, 101594, 085919,   74.5,  2299,
0580200614, 101594, 085814,   84.2,  2306,
0580200613, 101594, 085659,   94.7,  2305,
0580200612, 101594, 085552,  104.7,  2316,
0580200611, 101594, 085446,  115.3,  2305,
0580200610, 101594, 085344,  124.7,  2317,
0580200609, 101594, 085237,  134.8,  2334,
0580200608, 101594, 085125,  149.5,  2347,
0580200606, 101594, 084859,  174.4,  2302,
0580200605, 101594, 084753,  185.4,  2293,
0580201306, 101694, 055345,    4.9,  2291,
0580201305, 101694, 055225,   25.0,  2291,
0590200521, 112094, 074403,    5.3,  2302,
0590200518, 112094, 074159,   25.2,  2304,
0590200517, 112094, 074104,   34.2,  2304,
0590200515, 112094, 073843,   58.7,  2298,
0590200514, 112094, 073739,   74.0,  2304,
0590200513, 112094, 073617,   86.5,  2305,
0590200512, 112094, 073511,   94.9,  2327,
0590200511, 112094, 073417,  102.3,  2321,
0590200510, 112094, 073315,  115.7,  2316,
0590200509, 112094, 073217,  125.2,  2327,
0590200508, 112094, 073105,  135.4,  2318,
0590200507, 112094, 072946,  150.6,  2316,
0590200506, 112094, 072848,  159.8,  2316,
0590200505, 112094, 072743,  173.0,  2312,
0590200504, 112094, 072631,  185.0,  2298,
0590200503, 112094, 072524,  200.0,  2281,
0590201224, 112194, 043911,    4.6,  2304,
0590201221, 112194, 043635,   25.8,  2304,
0600200523, 020695, 075919,    5.0,  2257,
0600200520, 020695, 075712,   23.4,  2259,
0600200518, 020695, 075556,   34.1,  2261,
0600200517, 020695, 075505,   43.8,  2263,
0600200516, 020695, 075410,   59.8,  2286,
0600200515, 020695, 075314,   74.9,  2291,
0600200514, 020695, 075220,   84.8,  2292,
0600200513, 020695, 075139,   95.5,  2296,
0600200512, 020695, 075053,  104.3,  2300,
0600200511, 020695, 075008,  113.5,  2303,
0600200509, 020695, 074812,  123.8,  2305,
0600200508, 020695, 074717,  133.6,  2311,
