botid, date, time, press, lln, 
#, mmddyy, hhmmss, dbar, nmol/kg, 
0520201914, 021994, 025804,  121.4,  365.5,
0520201913, 021994, 025706,  128.9,  557.0,
0520201912, 021994, 025600,  143.8,  943.6,
0520201911, 021994, 025456,  159.3, 1442.4,
0520201910, 021994, 025324,  184.7, 2179.6,
0530200621, 030994, 060838,    4.6,    0.8,
0530200620, 030994, 060708,   14.9,    1.1,
0530200618, 030994, 060546,   25.2,    0.2,
0530200617, 030994, 060448,   36.8,    0.6,
0530200616, 030994, 060347,   45.5,    1.1,
0530200615, 030994, 060226,   60.1,    0.8,
0530200614, 030994, 060130,   75.0,    1.4,
0530200613, 030994, 060043,   83.3,    0.8,
0530200612, 030994, 055938,   95.2,    1.4,
0530200611, 030994, 055837,  104.9,    1.7,
0530200610, 030994, 055737,  115.9,    1.4,
0530200609, 030994, 055642,  125.8,   30.8,
0530200608, 030994, 055535,  135.0,  201.5,
0530200607, 030994, 055225,  149.2,  374.5,
0530200605, 030994, 055008,  174.7,  459.7,
0540201321, 061994, 230633,    5.1,    1.8,
0540201320, 061994, 230503,   14.9,    1.9,
0540201318, 061994, 230339,   24.7,    1.0,
0540201316, 061994, 230056,   44.6,    2.1,
0540201315, 061994, 225936,   59.7,    1.7,
0540201314, 061994, 225807,   75.4,    0.8,
0540201313, 061994, 225646,   84.7,    1.3,
0540201312, 061994, 225524,   95.7,    0.3,
0540201311, 061994, 225403,  105.1,    0.2,
0540201310, 061994, 225242,  113.8,    0.6,
0540201309, 061994, 225114,  125.3,  121.3,
0540201308, 061994, 224943,  136.6,  238.2,
0540201307, 061994, 224807,  150.6,  352.3,
0540201306, 061994, 224639,  157.4,  414.4,
0540201305, 061994, 224509,  175.1,  589.7,
0540201304, 061994, 224325,  185.2, 1310.8,
0540202024, -00009, -00009,    5.0,    1.1,
0540202023, -00009, -00009,   25.3,    2.2,
0540202022, -00009, -00009,   74.6,    1.3,
0540202021, -00009, -00009,  109.4,   10.4,
0540202020, -00009, -00009,  129.9,   60.2,
0540202019, -00009, -00009,  139.6,  259.9,
0540202018, -00009, -00009,  150.7,  408.2,
0540202017, -00009, -00009,  170.2,  745.5,
0540202016, -00009, -00009,  189.1, 1088.3,
0550200423, 072594, 080830,    4.7,    0.3,
0550200422, 072594, 080712,   14.8,    0.5,
0550200420, 072594, 080534,   24.6,    0.2,
0550200419, 072594, 080425,   34.2,    0.5,
0550200418, 072594, 080309,   43.8,    0.3,
0550200417, 072594, 080147,   59.8,    0.3,
0550200416, 072594, 080028,   74.3,    0.5,
0550200414, 072594, 075845,   84.3,    0.8,
0550200413, 072594, 075707,   94.9,    1.2,
0550200412, 072594, 075548,  104.2,    0.7,
0550200411, 072594, 075431,  115.3,    8.6,
0550200410, 072594, 075215,  124.2,   78.2,
0550200409, 072594, 075043,  134.4,  351.4,
0550200407, 072594, 074814,  149.6, 1069.5,
0560200521, 083094, 064533,    4.5,    0.2,
0560200520, 083094, 064429,   14.6,    1.0,
0560200518, 083094, 064310,   25.2,    0.4,
0560200517, 083094, 064204,   35.2,    0.2,
0560200516, 083094, 064059,   44.6,    0.4,
0560200515, 083094, 063939,   59.6,    1.3,
0560200514, 083094, 063820,   75.9,    0.1,
0560200513, 083094, 063710,   85.0,    0.2,
0560200511, 083094, 063441,  105.5,   77.8,
0560200510, 083094, 063309,  115.0,  783.6,
0560200509, 083094, 063142,  125.1, 1280.1,
0570200421, 092394, 080726,    5.4,    2.0,
0570200420, 092394, 080632,   15.1,    1.5,
0570200418, 092394, 080522,   25.0,    1.1,
0570200417, 092394, 080414,   35.0,    1.8,
0570200416, 092394, 080328,   44.6,    1.4,
0570200415, 092394, 080222,   59.9,    1.2,
0570200414, 092394, 080124,   75.2,    1.2,
0570200413, 092394, 080023,   84.9,    2.0,
0570200412, 092394, 075920,   95.1,    4.3,
0570200411, 092394, 075819,  105.2,   11.0,
0570200410, 092394, 075725,  115.6,   11.8,
0570200409, 092394, 075629,  124.1,  206.1,
0570200408, 092394, 075530,  135.5,  385.3,
0570200407, 092394, 075420,  149.6,  431.5,
0570200406, 092394, 075322,  158.7,  582.9,
0570200405, 092394, 075144,  174.4,  904.5,
0570200404, 092394, 075036,  184.7, 1173.9,
0570200403, 092394, 074918,  200.0, 1548.6,
0570201924, 092594, 053549,    5.0,    1.9,
0570201923, 092594, 053425,   24.6,    1.8,
0570201922, 092594, 053211,   75.0,    1.5,
0570201921, 092594, 053106,   90.3,    4.5,
0570201920, 092594, 052945,   99.4,    1.2,
0570201919, 092594, 052840,  104.5,    2.6,
0570201918, 092594, 052731,  109.9,    1.4,
0570201917, 092594, 052643,  115.2,    2.4,
0580200622, 101594, 090603,    5.0,    0.9,
0580200621, 101594, 090506,   14.6,    1.2,
0580200619, 101594, 090350,   25.0,    0.6,
0580200618, 101594, 090259,   34.3,    1.0,
0580200617, 101594, 090155,   44.6,    1.5,
0580200616, 101594, 090029,   59.5,    1.5,
0580200615, 101594, 085919,   74.5,    1.0,
0580200614, 101594, 085814,   84.2,    1.3,
0580200613, 101594, 085659,   94.7,    2.9,
0580200612, 101594, 085552,  104.7,    1.6,
0580200611, 101594, 085446,  115.3,    7.1,
0580200610, 101594, 085344,  124.7,  257.8,
0580200608, 101594, 085125,  149.5,  773.9,
0580200607, 101594, 085008,  159.4,  982.1,
0580200606, 101594, 084859,  174.4, 1169.8,
0580200605, 101594, 084753,  185.4, 1459.3,
0590200521, 112094, 074403,    5.3,    2.1,
0590200520, 112094, 074305,   14.8,    2.0,
0590200518, 112094, 074159,   25.2,    1.4,
0590200517, 112094, 074104,   34.2,    2.6,
0590200516, 112094, 074000,   43.2,    1.3,
0590200515, 112094, 073843,   58.7,    3.6,
0590200514, 112094, 073739,   74.0,    2.2,
0590200513, 112094, 073617,   86.5,    1.9,
0590200512, 112094, 073511,   94.9,    3.7,
0590200511, 112094, 073417,  102.3,   49.8,
0590200510, 112094, 073315,  115.7,  131.1,
0590200509, 112094, 073217,  125.2,  231.8,
0590200508, 112094, 073105,  135.4,  290.6,
0590200507, 112094, 072946,  150.6, 1002.2,
0590200505, 112094, 072743,  173.0, 1668.1,
0600200522, 020695, 075910,    4.9,    3.8,
0600200521, 020695, 075809,   14.9,    4.6,
0600200519, 020695, 075652,   23.2,    4.5,
0600200518, 020695, 075556,   34.1,    5.1,
0600200517, 020695, 075505,   43.8,    2.7,
0600200516, 020695, 075410,   59.8,    3.4,
0600200515, 020695, 075314,   74.9,    4.7,
0600200514, 020695, 075220,   84.8,    2.7,
0600200513, 020695, 075139,   95.5,    3.7,
0600200512, 020695, 075053,  104.3,    4.5,
0600200511, 020695, 075008,  113.5,   60.8,
0600200510, 020695, 074902,  120.3,  152.2,
0600200509, 020695, 074812,  123.8,  280.8,
0600200508, 020695, 074717,  133.6,  262.2,
0600200507, 020695, 074619,  149.8,  313.3,
0600200505, 020695, 074424,  175.1, 3152.4,
0610200422, 030495, 080036,    5.5,   12.1,
0610200421, 030495, 075930,   15.0,    3.5,
0610200419, 030495, 075819,   25.5,    1.4,
0610200418, 030495, 075717,   34.0,    2.1,
0610200417, 030495, 075600,   44.7,    2.6,
0610200416, 030495, 075458,   57.9,    3.3,
0610200415, 030495, 075325,   78.0,   11.5,
0610200414, 030495, 075206,   85.2,   72.4,
0610200413, 030495, 075058,   96.0,  404.6,
0610200412, 030495, 074941,  106.3, 1361.4,
0610200411, 030495, 074833,  111.9,  976.8,
0610200410, 030495, 074728,  123.6, 1774.2,
0620200521, 040695, 070431,    4.5,    7.4,
0620200520, 040695, 070315,   14.6,   11.3,
0620200518, 040695, 070159,   25.1,    8.7,
0620200516, 040695, 065950,   44.8,    8.3,
0620200515, 040695, 065838,   60.9,    9.1,
0620200514, 040695, 065730,   75.2,   13.3,
0620200513, 040695, 065630,   84.9,   11.3,
0620200512, 040695, 065535,   93.3,    6.7,
0620200511, 040695, 065436,  104.5,    7.8,
0620200509, 040695, 065236,  124.0,    6.5,
0620200508, 040695, 065134,  134.9,   27.7,
0620200507, 040695, 065029,  149.2,   47.2,
0620200506, 040695, 064937,  160.2,  102.5,
0620200505, 040695, 064840,  173.8,  196.6,
0630200523, 050795, 090218,    5.0,    2.1,
0630200522, 050795, 090129,    9.7,    2.4,
0630200521, 050795, 090044,   15.0,    3.0,
0630200519, 050795, 085938,   24.7,    2.3,
0630200518, 050795, 085836,   34.3,    3.1,
0630200517, 050795, 085729,   45.0,    2.7,
0630200516, 050795, 085622,   59.5,    2.6,
0630200515, 050795, 085509,   75.6,    3.1,
0630200514, 050795, 085413,   84.3,    1.5,
0630200513, 050795, 085308,   95.2,    1.6,
0630200512, 050795, 085209,  104.8,    4.4,
0630200511, 050795, 085115,  115.0,   53.7,
0630200510, 050795, 085019,  124.3,  277.6,
0630200509, 050795, 084919,  135.3,  423.7,
0630200508, 050795, 084817,  149.8,  510.0,
0630200506, 050795, 084608,  174.7, 1239.3,
0640200523, 073095, 082954,    5.0,    3.9,
0640200522, 073095, 082840,   14.7,    2.7,
0640200520, 073095, 082736,   24.4,    4.7,
0640200519, 073095, 082630,   35.0,    4.2,
0640200518, 073095, 082510,   45.1,    3.9,
0640200517, 073095, 082351,   60.1,    2.9,
0640200516, 073095, 082228,   74.9,    6.3,
0640200515, 073095, 082120,   85.0,    5.2,
0640200514, 073095, 082010,   95.6,    8.5,
0640200513, 073095, 081900,  104.7,    4.4,
0640200512, 073095, 081744,  114.6,    3.6,
0640200511, 073095, 081623,  124.5,    5.1,
0640200510, 073095, 081525,  133.8,   94.9,
0640200509, 073095, 081405,  149.5,  788.6,
0650200423, 082895, 073257,    4.7,    1.8,
0650200422, 082895, 073155,   14.3,    1.5,
0650200420, 082895, 073055,   25.0,    1.1,
0650200419, 082895, 073001,   44.3,    1.2,
0650200418, 082895, 072909,   60.3,    2.1,
0650200417, 082895, 072757,   74.4,    1.4,
0650200416, 082895, 072658,   84.3,    1.5,
0650200414, 082895, 072458,   94.7,    6.2,
0650200412, 082895, 072300,  105.2,   15.6,
0650200411, 082895, 072154,  114.8,  271.6,
0650200410, 082895, 072100,  124.8,  712.8,
0660200322, 092795, 010525,   42.5,    2.5,
0660200321, 092795, 010436,   49.0,    4.6,
0660200320, 092795, 010314,   70.2,    3.6,
0660200319, 092795, 010130,   87.6,   12.9,
0660200424, 092795, 041116,    4.8,    4.4,
0660200423, 092795, 040958,   14.7,    3.4,
0660200422, 092795, 040904,   24.5,    2.1,
0660200421, 092795, 040807,   44.3,    2.8,
0660200420, 092795, 040706,   73.9,    2.9,
0660200419, 092795, 040601,   99.5,    2.6,
0660200418, 092795, 040455,  124.8,  110.6,
0660200522, 092795, 070151,    5.0,    3.3,
