botid, date, time, press, pe4, 
#, mmddyy, hhmmss, dbar, ng/l, 
1160200423, 062000, 224725,    4.0,   0.42,
1160200422, 062000, 224645,   14.4,   0.00,
1160200421, 062000, 224605,   24.1,   0.00,
1160200418, 062000, 224415,   34.5,   1.39,
1160200417, 062000, 224405,   34.5,   0.76,
1160200415, 062000, 224315,   44.1,   3.00,
1160200414, 062000, 224235,   58.6,   4.77,
1160200412, 062000, 224141,   74.2,   5.38,
1160200410, 062000, 224025,   99.5,   4.62,
1160200408, 062000, 223915,  123.6,   2.31,
1160200406, 062000, 223810,  149.2,   0.70,
1170201021, 072700, 015243,    4.3,   4.26,
1170201019, 072700, 015125,   14.4,   5.39,
1170201017, 072700, 015004,   24.4,   7.81,
1170201015, 072700, 014840,   35.5,   2.65,
1170201013, 072700, 014720,   44.3,   5.71,
1170201009, 072700, 014516,   59.5,   8.96,
1170201008, 072700, 014404,   75.9,  10.37,
1170201006, 072700, 014213,  103.3,   7.75,
1170201005, 072700, 014054,  123.6,   1.41,
1170201003, 072700, 013925,  150.5,   1.26,
1180201215, 082300, 214644,    4.2,   5.97,
1180201214, 082300, 214541,   13.7,   2.84,
1180201212, 082300, 214432,   25.0,   2.56,
1180201211, 082300, 214337,   34.7,   3.85,
1180201210, 082300, 214327,   34.7,   0.96,
1180201209, 082300, 214317,   34.9,   5.23,
1180201207, 082300, 214121,   50.7,   3.83,
1180201206, 082300, 214006,   80.0,  10.31,
1180201205, 082300, 213956,   80.0,  11.82,
1180201204, 082300, 213946,   79.8,  13.56,
1180201203, 082300, 213815,  115.4,   6.28,
1220200314, 011601, 214606,    3.3,   0.00,
1220200313, 011601, 214526,   13.7,   0.00,
1220200312, 011601, 214441,   23.5,   0.00,
1220200311, 011601, 214346,   33.6,   0.00,
1220200310, 011601, 214336,   33.7,   0.00,
1220200309, 011601, 214251,   43.6,   0.00,
1220200308, 011601, 214206,   57.6,   0.81,
1220200307, 011601, 214116,   74.2,   0.00,
1220200306, 011601, 214026,   98.2,   0.00,
1220200305, 011601, 213926,  124.1,   0.14,
1220200304, 011601, 213828,  148.0,   1.21,
1220200303, 011601, 213711,  174.2,   0.20,
1230200522, 021501, 081845,    4.4,   0.87,
1230200521, 021501, 081734,   13.9,   4.32,
1230200519, 021501, 081634,   23.8,   8.40,
1230200518, 021501, 081544,   34.1,   6.07,
1230200517, 021501, 081534,   34.5,   0.74,
1230200516, 021501, 081444,   45.0,   1.49,
1230200514, 021501, 081329,   58.4,   0.00,
1230200512, 021501, 081224,   73.4,   1.37,
1230200506, 021501, 080824,  101.2,   0.68,
1230200504, 021501, 080604,  149.0,   0.00,
1230200503, 021501, 080439,  177.5,   1.81,
1240201023, 032201, 070007,    4.8,   1.02,
1240201021, 032201, 065850,   14.4,   5.12,
1240201020, 032201, 065749,   24.8,   1.97,
1240201018, 032201, 065553,   34.1,   4.52,
1240201017, 032201, 065539,   34.2,   4.56,
1240201015, 032201, 065419,   43.2,   2.70,
1240201013, 032201, 065256,   58.8,   7.52,
1240201010, 032201, 065120,   73.7,   5.65,
1240201007, 032201, 064802,   98.9,   3.43,
1240201006, 032201, 064637,  122.9,   2.51,
1240201005, 032201, 064527,  149.1,   2.09,
1240201003, 032201, 064358,  174.6,   3.81,
1250201014, 041801, 184944,    3.5,   0.00,
1250201013, 041801, 184843,   13.5,   2.91,
1250201012, 041801, 184742,   24.0,   2.33,
1250201011, 041801, 184646,   34.0,   1.07,
1250201010, 041801, 184633,   34.0,   3.91,
1250201009, 041801, 184532,   44.9,   1.44,
1250201008, 041801, 184430,   59.4,   4.31,
1250201007, 041801, 184328,   73.7,   3.13,
1250201006, 041801, 184214,   99.8,   6.89,
1250201005, 041801, 184103,  124.0,  20.24,
1250201004, 041801, 183949,  149.0,   3.57,
1250201003, 041801, 183826,  174.5,   1.46,
1260201114, 051701, 185435,    4.7,   2.90,
1260201113, 051701, 185335,   14.4,   2.78,
1260201112, 051701, 185235,   24.5,   1.67,
1260201111, 051701, 185135,   34.4,   7.45,
1260201110, 051701, 185120,   34.4,   5.27,
1260201109, 051701, 185015,   44.3,   0.43,
1260201108, 051701, 184915,   59.0,   2.27,
1260201107, 051701, 184815,   74.2,   3.27,
1260201106, 051701, 184705,   99.6,   7.49,
1260201105, 051701, 184554,  124.4,   2.16,
1260201104, 051701, 184440,  149.7,   0.00,
1260201103, 051701, 184310,  175.2,   0.00,
1270201023, 061401, 185236,    4.4,   0.00,
1270201022, 061401, 185141,   13.8,   0.00,
1270201021, 061401, 185056,   23.6,   2.63,
1270201020, 061401, 185006,   33.4,   0.51,
1270201019, 061401, 184957,   33.6,   0.91,
1270201018, 061401, 184906,   43.8,   1.75,
1270201017, 061401, 184816,   58.6,   7.59,
1270201016, 061401, 184721,   73.8,   2.96,
1270201013, 061401, 184516,   98.8,   6.00,
1270201008, 061401, 184211,  123.5,   4.28,
1270201004, 061401, 183848,  149.1,   2.19,
