botid, date, time, press, don, 
#, mmddyy, hhmmss, dbar, umol/kg, 
0630200522, 050795, 090129,    9.7,   4.48,
0630200521, 050795, 090044,   15.0,   5.16,
0630200519, 050795, 085938,   24.7,   4.87,
0630200518, 050795, 085836,   34.3,   5.29,
0630200517, 050795, 085729,   45.0,   5.23,
0630200516, 050795, 085622,   59.5,   4.99,
0630200515, 050795, 085509,   75.6,   5.05,
0630200514, 050795, 085413,   84.3,   4.90,
0630200513, 050795, 085308,   95.2,   4.79,
0630200512, 050795, 085209,  104.8,   4.89,
0630200511, 050795, 085115,  115.0,   4.71,
0630200510, 050795, 085019,  124.3,   4.63,
0630200509, 050795, 084919,  135.3,   4.44,
0630200508, 050795, 084817,  149.8,   4.29,
0630200507, 050795, 084717,  159.4,   3.95,
0630200506, 050795, 084608,  174.7,   3.37,
0630200505, 050795, 084512,  184.9,   3.80,
0630200504, 050795, 084408,  200.4,   3.59,
0630200503, 050795, 084308,  210.5,   3.32,
0640200423, 073095, 042905,    9.0,   6.36,
0640200414, 073095, 041622,  224.8,   3.85,
0640200413, 073095, 041514,  234.0,   4.06,
0640200412, 073095, 041356,  249.7,   3.87,
0640200411, 073095, 041231,  274.7,   3.87,
0640200410, 073095, 041040,  299.5,   4.73,
0640200409, 073095, 040904,  325.0,   3.76,
0640200408, 073095, 040745,  350.6,   3.83,
0640200407, 073095, 040539,  400.8,   3.37,
0640200406, 073095, 040250,  498.9,   3.03,
0640200405, 073095, 035926,  599.5,   2.65,
0640200404, 073095, 035641,  699.7,   2.53,
0640200403, 073095, 035326,  800.4,   2.21,
0640200402, 073095, 035038,  900.3,   2.50,
0640200401, 073095, 034704, 1020.2,   1.96,
0640200523, 073095, 082954,    5.0,   6.43,
0640200522, 073095, 082840,   14.7,   6.33,
0640200520, 073095, 082736,   24.4,   6.02,
0640200519, 073095, 082630,   35.0,   5.81,
0640200518, 073095, 082510,   45.1,   5.96,
0640200517, 073095, 082351,   60.1,   6.26,
0640200516, 073095, 082228,   74.9,   5.78,
0640200515, 073095, 082120,   85.0,   6.04,
0640200514, 073095, 082010,   95.6,   5.65,
0640200513, 073095, 081900,  104.7,   5.24,
0640200512, 073095, 081744,  114.6,   5.86,
0640200511, 073095, 081623,  124.5,   5.31,
0640200510, 073095, 081525,  133.8,   5.28,
0640200509, 073095, 081405,  149.5,   5.04,
0640200507, 073095, 081110,  174.3,   4.40,
0640200505, 073095, 080818,  201.0,   3.76,
0640200502, 073095, 075035,  818.8,   2.38,
0640200501, 073095, 074541, 1017.5,   2.50,
0650200317, 082895, 043024,  210.1,   4.39,
0650200316, 082895, 042918,  224.9,   4.28,
0650200315, 082895, 042815,  235.6,   4.40,
0650200314, 082895, 042700,  250.6,   4.25,
0650200313, 082895, 042515,  275.4,   4.29,
0650200312, 082895, 042345,  300.9,   4.12,
0650200311, 082895, 042219,  324.3,   4.06,
0650200310, 082895, 042027,  353.0,   3.87,
0650200309, 082895, 041818,  400.4,   3.66,
0650200308, 082895, 041533,  500.4,   2.98,
0650200307, 082895, 041347,  526.5,   3.07,
0650200306, 082895, 041138,  600.2,   2.06,
0650200305, 082895, 040847,  700.2,   2.24,
0650200304, 082895, 040616,  797.6,   2.13,
0650200303, 082895, 040454,  828.9,   2.28,
0650200302, 082895, 040238,  899.8,   1.86,
0650200301, 082895, 035919, 1021.4,   1.70,
0650200423, 082895, 073257,    4.7,   5.88,
0650200422, 082895, 073155,   14.3,   6.70,
0650200420, 082895, 073055,   25.0,   5.26,
0650200419, 082895, 073001,   44.3,   5.30,
0650200418, 082895, 072909,   60.3,   5.29,
0650200417, 082895, 072757,   74.4,   5.15,
0650200416, 082895, 072658,   84.3,   4.69,
0650200415, 082895, 072600,   89.3,   5.09,
0650200414, 082895, 072458,   94.7,   5.18,
0650200413, 082895, 072407,  100.2,   5.06,
0650200412, 082895, 072300,  105.2,   5.41,
0650200411, 082895, 072154,  114.8,   4.83,
0650200410, 082895, 072100,  124.8,   4.84,
0650200409, 082895, 072010,  135.4,   4.71,
0650200408, 082895, 071859,  149.6,   4.62,
0650200407, 082895, 071759,  160.0,   4.66,
0650200406, 082895, 071658,  173.3,   4.58,
0650200405, 082895, 071602,  184.8,   4.34,
0650200404, 082895, 071501,  201.0,   4.58,
0660200424, 092795, 041116,    4.8,   5.53,
0660200423, 092795, 040958,   14.7,   5.62,
0660200422, 092795, 040904,   24.5,   5.76,
0660200421, 092795, 040807,   44.3,   5.44,
0660200420, 092795, 040706,   73.9,   5.65,
0660200419, 092795, 040601,   99.5,   5.28,
0660200418, 092795, 040455,  124.8,   5.23,
0660200417, 092795, 040311,  173.6,   4.58,
0660200416, 092795, 040201,  199.9,   4.67,
0660200415, 092795, 040049,  210.3,   4.18,
0660200414, 092795, 035946,  224.4,   4.30,
0660200413, 092795, 035850,  233.4,   4.35,
0660200412, 092795, 035736,  248.7,   4.65,
0660200411, 092795, 035629,  272.5,   3.01,
0660200410, 092795, 035508,  299.6,   3.45,
0660200409, 092795, 035316,  324.0,   3.50,
0660200408, 092795, 035154,  349.1,   3.30,
0660200407, 092795, 035016,  399.7,   3.34,
0660200406, 092795, 034732,  501.5,   2.95,
0660200405, 092795, 034412,  600.0,   2.32,
0660200404, 092795, 034134,  699.6,   1.58,
0660200403, 092795, 033854,  800.5,   1.61,
0660200402, 092795, 033605,  900.4,   1.57,
0660200401, 092795, 033247, 1020.2,   1.57,
0660200522, 092795, 070151,    5.0,   5.94,
0660200521, 092795, 070049,   14.1,   5.78,
0660200519, 092795, 065939,   24.8,   5.58,
0660200518, 092795, 065849,   35.0,   6.08,
0660200517, 092795, 065800,   45.5,   6.11,
0660200516, 092795, 065649,   60.4,   5.96,
0660200515, 092795, 065545,   74.5,   5.56,
0660200514, 092795, 065455,   85.0,   5.56,
0660200513, 092795, 065356,   93.9,   5.46,
0660200512, 092795, 065311,  104.1,   5.37,
0660200511, 092795, 065209,  114.4,   5.29,
0660200510, 092795, 065114,  124.0,   5.21,
0660200509, 092795, 065021,  134.1,   5.39,
0660200508, 092795, 064910,  149.1,   4.83,
0660200507, 092795, 064810,  160.5,   4.80,
0660200506, 092795, 064703,  174.4,   4.83,
0660200505, 092795, 064605,  185.1,   4.78,
0660200504, 092795, 064448,  200.5,   4.77,
0660200503, 092795, 063825,  501.5,   3.10,
0660200502, 092795, 063300,  748.5,   1.28,
0660200501, 092795, 062723, 1017.8,   1.98,
0670200515, 102795, 025759,  199.4,   4.66,
0670200514, 102795, 025617,  224.9,   4.48,
0670200513, 102795, 025433,  250.5,   4.70,
0670200512, 102795, 025316,  275.2,   4.39,
0670200511, 102795, 025203,  299.4,   4.35,
0670200510, 102795, 025044,  325.5,   4.33,
0670200509, 102795, 024914,  349.0,   3.96,
0670200508, 102795, 024735,  400.2,   4.28,
0670200507, 102795, 024500,  500.5,   3.70,
0670200506, 102795, 024343,  520.9,   3.64,
0670200505, 102795, 024102,  601.1,   2.79,
0670200504, 102795, 023816,  700.8,   2.92,
0670200503, 102795, 023533,  799.1,   2.32,
0670200502, 102795, 023302,  900.1,   2.60,
0670200501, 102795, 023002, 1021.7,   2.48,
0670200622, 102795, 060603,    4.6,   5.64,
0670200620, 102795, 060458,   13.6,   5.66,
0670200618, 102795, 060354,   24.4,   5.60,
0670200617, 102795, 060244,   44.3,   5.84,
0670200616, 102795, 060053,   59.4,   5.88,
0670200615, 102795, 055948,   75.0,   6.09,
0670200614, 102795, 055845,   84.9,   5.22,
0670200612, 102795, 055651,  104.1,   5.71,
0670200611, 102795, 055549,  114.9,   5.62,
0670200610, 102795, 055453,  124.8,   5.42,
0670200609, 102795, 055349,  134.7,   5.04,
0670200608, 102795, 055252,  149.1,   5.16,
0670200607, 102795, 055157,  158.3,   4.84,
0670200606, 102795, 055045,  174.3,   4.88,
0670200605, 102795, 054953,  185.0,   4.49,
0670200604, 102795, 054849,  199.6,   4.52,
0680200514, 111795, 025521,  225.3,   3.69,
0680200513, 111795, 025416,  234.9,   3.77,
0680200512, 111795, 025308,  249.7,   3.55,
0680200511, 111795, 025139,  274.4,   4.86,
0680200510, 111795, 025012,  300.3,   4.61,
0680200509, 111795, 024853,  324.0,   4.94,
0680200508, 111795, 024736,  349.6,   5.76,
0680200507, 111795, 024544,  400.3,   5.64,
0680200506, 111795, 024309,  480.6,   3.63,
0680200505, 111795, 023943,  599.7,   3.47,
0680200504, 111795, 023631,  700.2,   3.36,
0680200503, 111795, 023340,  801.1,   2.98,
0680200502, 111795, 023040,  899.7,   2.80,
0680200501, 111795, 022637, 1019.1,   2.88,
0680200622, 111795, 060149,    5.0,   5.25,
0680200621, 111795, 060036,   14.1,   5.07,
0680200619, 111795, 055913,   24.0,   4.90,
0680200618, 111795, 055807,   34.5,   4.97,
0680200617, 111795, 055708,   44.3,   5.65,
0680200616, 111795, 055605,   60.9,   4.90,
0680200615, 111795, 055436,   74.5,   4.75,
0680200614, 111795, 055324,   85.5,   4.58,
0680200613, 111795, 055211,   94.1,   4.70,
0680200612, 111795, 055109,  104.3,   4.37,
0680200611, 111795, 054958,  114.3,   4.24,
0680200610, 111795, 054836,  125.0,   4.24,
0680200609, 111795, 054726,  134.5,   3.92,
0680200608, 111795, 054621,  149.9,   4.00,
0680200606, 111795, 054428,  175.1,   3.74,
0680200604, 111795, 054203,  200.8,   3.79,
0690200615, 011796, 050144,  209.6,   4.47,
0690200614, 011796, 050026,  224.5,   3.93,
0690200613, 011796, 045922,  234.5,   3.93,
0690200612, 011796, 045804,  250.3,   4.07,
0690200611, 011796, 045650,  274.8,   4.03,
0690200610, 011796, 045520,  299.7,   3.97,
0690200609, 011796, 045350,  325.1,   3.73,
0690200608, 011796, 045202,  350.3,   3.82,
0690200607, 011796, 045004,  398.9,   3.44,
0690200606, 011796, 044704,  499.9,   3.46,
0690200605, 011796, 044346,  599.6,   3.32,
0690200604, 011796, 044032,  700.2,   2.93,
0690200603, 011796, 043742,  801.2,   2.84,
0690200602, 011796, 043420,  900.0,   3.08,
0690200601, 011796, 043032, 1020.0,   2.58,
0690200721, 011796, 075754,    4.6,   5.62,
0690200720, 011796, 075656,   14.5,   5.72,
0690200718, 011796, 075546,   24.9,   6.51,
0690200717, 011796, 075452,   34.8,   5.45,
0690200716, 011796, 075348,   44.8,   5.56,
0690200715, 011796, 075242,   59.6,   5.85,
0690200714, 011796, 075136,   74.6,   6.02,
0690200713, 011796, 075032,   84.3,   5.40,
0690200712, 011796, 074934,   94.4,   4.94,
0690200711, 011796, 074834,  104.4,   5.59,
0690200710, 011796, 074734,  114.4,   4.83,
0690200709, 011796, 074628,  124.8,   4.64,
0690200708, 011796, 074520,  134.9,   4.82,
0690200707, 011796, 074412,  149.5,   4.40,
0690200706, 011796, 074312,  160.0,   4.18,
0690200705, 011796, 074208,  174.4,   4.15,
0690200704, 011796, 074114,  184.4,   4.35,
0690200703, 011796, 074004,  200.3,   4.28,
0700200515, 032796, 045118,  208.1,   4.95,
0700200514, 032796, 045018,  225.0,   4.46,
0700200513, 032796, 044924,  234.3,   4.84,
0700200512, 032796, 044824,  249.3,   3.52,
0700200511, 032796, 044720,  273.6,   4.05,
0700200510, 032796, 044612,  299.2,   3.16,
0700200509, 032796, 044508,  323.1,   3.03,
0700200508, 032796, 044348,  349.8,   3.18,
0700200507, 032796, 044214,  399.8,   2.83,
0700200506, 032796, 043944,  499.5,   2.58,
0700200505, 032796, 043716,  599.5,   2.51,
0700200504, 032796, 043448,  700.0,   1.88,
0700200503, 032796, 043216,  797.5,   2.06,
0700200502, 032796, 042946,  899.7,   2.99,
0700200501, 032796, 042654, 1019.6,   3.89,
0700200622, 032796, 080100,    4.8,   5.56,
0700200620, 032796, 075952,   13.1,   5.44,
0700200618, 032796, 075824,   24.4,   6.08,
0700200617, 032796, 075726,   34.0,   5.93,
0700200616, 032796, 075626,   44.3,   5.53,
0700200615, 032796, 075518,   58.8,   5.35,
0700200614, 032796, 075412,   72.8,   5.49,
0700200613, 032796, 075314,   84.4,   5.66,
0700200612, 032796, 075216,   95.2,   6.05,
0700200611, 032796, 075112,  104.6,   5.83,
0700200610, 032796, 075008,  114.7,   7.14,
0700200609, 032796, 074912,  123.7,   5.97,
0700200608, 032796, 074824,  134.0,   5.46,
0700200607, 032796, 074724,  148.7,   5.18,
0700200605, 032796, 074532,  173.0,   5.23,
0700200603, 032796, 074340,  199.6,   5.03,
0710200514, 042496, 034925,  225.0,   4.43,
0710200513, 042496, 034829,  234.2,   2.94,
0710200512, 042496, 034735,  249.4,   3.17,
0710200511, 042496, 034623,  274.1,   3.68,
0710200510, 042496, 034509,  301.5,   3.41,
0710200509, 042496, 034349,  325.0,   2.55,
0710200508, 042496, 034243,  349.8,   3.26,
0710200507, 042496, 034103,  400.1,   3.22,
0710200506, 042496, 033847,  502.6,   2.57,
0710200505, 042496, 033511,  601.4,   1.76,
0710200504, 042496, 033217,  699.5,   1.51,
0710200503, 042496, 032931,  800.3,   1.66,
0710200502, 042496, 032643,  900.9,   1.30,
0710200501, 042496, 032322, 1020.9,   1.95,
0710200624, 042496, 070429,    2.2,   5.29,
0710200622, 042496, 070331,    4.6,   6.05,
0710200621, 042496, 070207,   14.9,   5.68,
0710200619, 042496, 070105,   23.6,   5.28,
0710200618, 042496, 065939,   34.3,   6.33,
0710200617, 042496, 065833,   44.1,   6.33,
0710200616, 042496, 065725,   59.0,   6.22,
0710200615, 042496, 065613,   74.1,   5.66,
0710200614, 042496, 065503,   84.4,   5.29,
0710200613, 042496, 065353,   94.2,   5.23,
0710200612, 042496, 065247,  104.1,   5.60,
0710200611, 042496, 065137,  114.8,   4.94,
0710200610, 042496, 065037,  123.9,   5.30,
0710200609, 042496, 064921,  134.5,   5.59,
0710200608, 042496, 064807,  150.5,   4.72,
0710200606, 042496, 064545,  174.5,   2.67,
0710200604, 042496, 064243,  200.8,   4.06,
0720200115, 052296, 030033,  210.1,   4.79,
0720200114, 052296, 025925,  225.3,   4.66,
0720200113, 052296, 025813,  236.2,   5.49,
0720200112, 052296, 025649,  249.6,   3.63,
0720200111, 052296, 025527,  275.7,   4.71,
0720200110, 052296, 025407,  301.2,   4.90,
0720200109, 052296, 025237,  324.8,   4.03,
0720200108, 052296, 025103,  350.6,   3.36,
0720200107, 052296, 024915,  400.9,   3.11,
0720200106, 052296, 024645,  499.3,   3.04,
0720200103, 052296, 023805,  800.5,   2.41,
0720200102, 052296, 023523,  899.3,   2.30,
0720200101, 052296, 023219, 1022.4,   2.21,
0720200221, 052296, 060931,    5.1,   5.99,
0720200220, 052296, 060826,   15.3,   5.65,
0720200218, 052296, 060707,   24.6,   5.65,
0720200217, 052296, 060554,   35.1,   6.33,
0720200216, 052296, 060452,   44.5,   6.07,
0720200215, 052296, 060328,   61.1,   5.75,
0720200214, 052296, 060206,   75.1,   6.28,
0720200213, 052296, 060053,   85.0,   6.12,
0720200212, 052296, 055936,   94.3,   5.79,
0720200211, 052296, 055826,  105.1,   5.50,
0720200210, 052296, 055720,  116.3,   6.17,
0720200209, 052296, 055600,  125.0,   6.16,
0720200208, 052296, 055452,  134.8,   5.72,
0720200207, 052296, 055332,  149.0,   5.65,
0720200205, 052296, 055052,  175.1,   5.67,
0720200203, 052296, 054806,  202.1,   5.07,
0730200514, 062696, 035057,  225.0,   4.76,
0730200513, 062696, 034927,  234.8,   4.30,
0730200512, 062696, 034813,  250.2,   3.32,
0730200511, 062696, 034705,  275.2,   3.35,
0730200510, 062696, 034601,  300.5,   3.80,
0730200509, 062696, 034455,  326.5,   3.85,
0730200508, 062696, 034349,  351.4,   3.22,
0730200507, 062696, 034203,  401.4,   3.32,
0730200506, 062696, 033935,  500.1,   3.41,
0730200505, 062696, 033659,  601.5,   2.43,
0730200504, 062696, 033437,  700.0,   2.07,
0730200503, 062696, 033215,  799.8,   2.23,
0730200502, 062696, 033011,  899.4,   2.34,
0730200501, 062696, 032703, 1027.2,   2.56,
0730200623, 062696, 070517,    4.0,   5.92,
0730200621, 062696, 070357,   14.7,   6.14,
0730200619, 062696, 070225,   24.6,   6.24,
0730200618, 062696, 070111,   35.2,   6.19,
0730200617, 062696, 065955,   45.0,   6.22,
0730200616, 062696, 065833,   59.3,   6.01,
0730200615, 062696, 065721,   74.4,   6.18,
0730200614, 062696, 065607,   84.5,   5.73,
0730200613, 062696, 065503,   94.9,   5.62,
0730200612, 062696, 065357,  104.7,   6.06,
0730200611, 062696, 065249,  114.5,   5.37,
0730200610, 062696, 065131,  124.1,   5.14,
0730200609, 062696, 065015,  134.0,   5.29,
0730200608, 062696, 064907,  150.0,   5.15,
0730200607, 062696, 064801,  159.0,   5.41,
0730200606, 062696, 064637,  174.6,   5.69,
0730200605, 062696, 064531,  184.6,   6.10,
0730200604, 062696, 064403,  200.9,   5.84,
0740200514, 072796, 035333,  224.9,   4.60,
0740200513, 072796, 035223,  234.7,   4.94,
0740200512, 072796, 035115,  249.9,   4.15,
0740200511, 072796, 034943,  274.6,   3.69,
0740200510, 072796, 034829,  300.4,   4.17,
0740200509, 072796, 034651,  325.5,   4.31,
0740200508, 072796, 034533,  350.9,   4.20,
0740200507, 072796, 034329,  399.7,   3.76,
0740200506, 072796, 034049,  500.6,   3.33,
0740200505, 072796, 033801,  601.4,   2.99,
0740200504, 072796, 033523,  700.9,   2.28,
0740200503, 072796, 033253,  799.7,   2.12,
0740200502, 072796, 033017,  900.9,   2.35,
0740200501, 072796, 032713, 1020.3,   2.07,
0740200622, 072796, 065559,    4.5,   5.99,
0740200621, 072796, 065505,   14.4,   6.17,
0740200619, 072796, 065405,   24.3,   6.63,
0740200618, 072796, 065301,   33.9,   5.91,
0740200617, 072796, 065203,   44.6,   7.46,
0740200616, 072796, 065111,   58.9,   5.94,
0740200615, 072796, 065009,   74.8,   6.01,
0740200614, 072796, 064917,   84.5,   5.77,
0740200613, 072796, 064817,   95.1,   5.88,
0740200612, 072796, 064729,  103.8,   7.63,
0740200611, 072796, 064629,  113.7,   6.14,
0740200610, 072796, 064535,  124.2,   5.09,
0740200609, 072796, 064439,  134.2,   5.17,
0740200607, 072796, 064301,  150.2,   4.88,
0740200605, 072796, 064117,  174.3,   4.79,
0740200603, 072796, 063927,  199.9,   4.84,
0750200515, 082196, 045428,  224.4,   5.12,
0750200514, 082196, 045324,  234.4,   4.49,
0750200513, 082196, 045212,  249.0,   4.08,
0750200512, 082196, 045036,  274.7,   3.59,
0750200511, 082196, 044914,  299.2,   3.37,
0750200510, 082196, 044742,  324.6,   4.31,
0750200509, 082196, 044610,  350.1,   3.63,
0750200508, 082196, 044356,  399.9,   3.73,
0750200507, 082196, 044106,  500.2,   3.38,
0750200506, 082196, 043828,  600.0,   1.96,
0750200505, 082196, 043554,  699.4,   1.83,
0750200503, 082196, 043222,  799.6,   1.87,
0750200502, 082196, 042846,  899.9,   2.05,
0750200501, 082196, 042552, 1019.7,   1.84,
0750200623, 082196, 080151,    5.2,   6.26,
0750200622, 082196, 080029,   14.8,   5.88,
0750200620, 082196, 075919,   25.2,   5.86,
0750200619, 082196, 075829,   34.6,   5.80,
0750200618, 082196, 075721,   44.9,   6.45,
0750200617, 082196, 075618,   59.8,   5.94,
0750200616, 082196, 075507,   74.5,   6.39,
0750200615, 082196, 075405,   84.6,   5.53,
0750200614, 082196, 075259,   95.0,   5.55,
0750200613, 082196, 075203,  104.4,   5.34,
0750200612, 082196, 075105,  114.2,   5.89,
0750200611, 082196, 075007,  125.3,   5.54,
0750200610, 082196, 074851,  135.7,   4.75,
0750200609, 082196, 074727,  150.4,   5.08,
0750200607, 082196, 074509,  176.0,   4.95,
0750200605, 082196, 074259,  199.8,   4.92,
0760200519, 100296, 035456,  210.2,   3.60,
0760200518, 100296, 035354,  223.6,   3.55,
0760200517, 100296, 035254,  233.3,   3.82,
0760200516, 100296, 035146,  249.0,   3.59,
0760200515, 100296, 035012,  274.8,   3.70,
0760200514, 100296, 034900,  299.0,   5.33,
0760200513, 100296, 034736,  324.7,   3.65,
0760200512, 100296, 034622,  349.9,   3.33,
0760200511, 100296, 034436,  398.8,   3.21,
0760200510, 100296, 034158,  499.7,   2.69,
0760200509, 100296, 033920,  600.0,   2.08,
0760200508, 100296, 033646,  700.5,   1.78,
0760200507, 100296, 033232,  801.0,   1.42,
0760200506, 100296, 033002,  900.3,   1.80,
0760200505, 100296, 032620, 1020.8,   2.74,
0760200624, 100296, 065924,    3.8,   5.48,
0760200622, 100296, 065822,   14.2,   5.76,
0760200620, 100296, 065723,   24.2,   5.76,
0760200619, 100296, 065626,   34.9,   5.58,
0760200618, 100296, 065540,   43.6,   5.80,
0760200617, 100296, 065430,   59.6,   5.52,
0760200616, 100296, 065318,   73.8,   5.51,
0760200615, 100296, 065212,   84.6,   5.83,
0760200614, 100296, 065118,   94.5,   9.44,
0760200613, 100296, 065016,  103.7,   5.64,
0760200612, 100296, 064908,  115.3,   4.71,
0760200611, 100296, 064808,  124.3,   5.03,
0760200610, 100296, 064710,  134.8,   5.19,
0760200609, 100296, 064608,  148.7,   4.61,
0760200608, 100296, 064500,  159.4,   4.64,
0760200607, 100296, 064358,  175.1,   5.04,
0760200606, 100296, 064306,  183.8,   4.49,
0760200605, 100296, 064200,  199.9,   4.41,
0770200318, 103096, 035825,    4.2,   5.52,
0770200317, 103096, 035539,   80.2,   5.42,
0770200316, 103096, 035203,  188.6,   5.26,
0770200315, 103096, 035035,  209.8,   4.33,
0770200314, 103096, 034917,  224.3,   4.57,
0770200313, 103096, 034813,  234.0,   4.25,
0770200312, 103096, 034659,  249.6,   4.68,
0770200311, 103096, 034525,  274.6,   4.59,
0770200310, 103096, 034403,  299.5,   4.34,
0770200309, 103096, 034259,  323.0,   3.94,
0770200308, 103096, 034143,  349.4,   3.58,
0770200307, 103096, 034011,  400.2,   3.77,
0770200306, 103096, 033743,  499.5,   3.27,
0770200305, 103096, 033509,  599.5,   3.51,
0770200304, 103096, 033241,  698.9,   2.54,
0770200303, 103096, 033011,  799.6,   2.02,
0770200302, 103096, 032747,  899.8,   1.85,
0770200301, 103096, 032453, 1019.8,   1.59,
0770200422, 103096, 070334,    4.3,   5.90,
0770200421, 103096, 070232,   14.7,   5.90,
0770200419, 103096, 070052,   24.2,   5.11,
0770200418, 103096, 065934,   34.9,   4.01,
0770200417, 103096, 065806,   43.7,   6.02,
0770200416, 103096, 065650,   59.6,   5.54,
0770200415, 103096, 065528,   74.1,   5.99,
0770200414, 103096, 065424,   84.4,   5.33,
0770200413, 103096, 065310,   95.4,   5.49,
0770200412, 103096, 065202,  104.4,   5.13,
0770200411, 103096, 065052,  114.2,   4.97,
0770200410, 103096, 064946,  123.8,   5.08,
0770200409, 103096, 064844,  135.2,   5.08,
0770200408, 103096, 064722,  149.7,   4.51,
0770200406, 103096, 064438,  175.2,   4.76,
0770200404, 103096, 064208,  201.3,   4.99,
0770200403, 103096, 063644,  449.6,   3.29,
0770200402, 103096, 063008,  749.6,   2.13,
0770200401, 103096, 062352, 1020.5,   1.86,
0780200514, 121196, 055407,  224.6,   4.78,
0780200513, 121196, 055257,  234.4,   4.60,
0780200512, 121196, 055149,  249.0,   4.49,
0780200511, 121196, 055031,  276.4,   5.23,
0780200510, 121196, 054913,  303.5,   4.28,
0780200509, 121196, 054635,  328.7,   3.93,
0780200508, 121196, 054457,  351.5,   4.16,
0780200507, 121196, 054257,  401.7,   3.50,
0780200506, 121196, 054017,  501.3,   3.31,
0780200505, 121196, 053735,  599.5,   2.31,
0780200504, 121196, 053511,  699.1,   2.48,
0780200503, 121196, 053229,  801.0,   2.29,
0780200502, 121196, 052951,  899.5,   2.04,
0780200501, 121196, 052647, 1018.6,   2.19,
0780200621, 121196, 093257,    4.3,   5.13,
0780200620, 121196, 093133,   14.6,   5.59,
0780200618, 121196, 092945,   24.2,   5.56,
0780200617, 121196, 092821,   35.0,   5.63,
0780200616, 121196, 092653,   44.5,   5.31,
0780200615, 121196, 092535,   59.5,   5.65,
0780200614, 121196, 092411,   74.2,   5.97,
0780200613, 121196, 092249,   83.9,   5.55,
0780200612, 121196, 092127,   95.7,   5.98,
0780200611, 121196, 092011,  105.1,   6.42,
0780200610, 121196, 091853,  114.6,   5.10,
0780200609, 121196, 091743,  125.0,   4.95,
0780200608, 121196, 091611,  135.4,   4.85,
0780200607, 121196, 091445,  149.4,   5.03,
0780200605, 121196, 091213,  174.7,   4.68,
0780200603, 121196, 090913,  199.9,   4.50,
0790200517, 010897, 045348,    4.4,   5.37,
0790200516, 010897, 045112,  120.1,   4.80,
0790200513, 010897, 044644,  235.3,   4.28,
0790200512, 010897, 044542,  250.0,   4.65,
0790200511, 010897, 044424,  274.4,   4.34,
0790200510, 010897, 044316,  299.9,   3.95,
0790200509, 010897, 044156,  325.8,   3.83,
0790200508, 010897, 044042,  350.0,   4.48,
0790200507, 010897, 043850,  400.2,   3.44,
0790200506, 010897, 043620,  499.1,   3.12,
0790200505, 010897, 043352,  599.5,   2.86,
0790200504, 010897, 043114,  700.1,   2.28,
0790200503, 010897, 042842,  801.4,   2.56,
0790200502, 010897, 042618,  900.6,   1.96,
0790200501, 010897, 042322, 1020.0,   2.77,
0790200622, 010897, 080555,    4.3,   5.50,
0790200621, 010897, 080433,   14.2,   5.74,
0790200619, 010897, 080311,   24.3,   5.37,
0790200618, 010897, 080143,   34.4,   5.40,
0790200617, 010897, 080003,   44.2,   5.64,
0790200616, 010897, 075835,   59.3,   5.32,
0790200615, 010897, 075713,   75.0,   5.12,
0790200614, 010897, 075539,   84.8,   5.58,
0790200613, 010897, 075421,   94.4,   5.36,
0790200612, 010897, 075301,  104.5,   5.27,
0790200611, 010897, 075149,  114.1,   5.18,
0790200610, 010897, 075025,  124.9,   4.97,
0790200609, 010897, 074903,  134.9,   4.72,
0790200608, 010897, 074717,  149.9,   4.71,
0790200606, 010897, 074431,  175.0,   4.48,
0790200604, 010897, 074139,  199.8,   4.37,
0790200603, 010897, 073429,  520.8,   3.34,
0790200602, 010897, 072731,  825.0,   2.03,
0790200601, 010897, 072239, 1019.9,   2.53,
0800200517, 021897, 035601,    4.4,   6.27,
0800200516, 021897, 035141,  200.2,   4.78,
0800200514, 021897, 034919,  225.8,   4.70,
0800200513, 021897, 034803,  234.6,   4.45,
0800200512, 021897, 034701,  251.0,   5.06,
0800200511, 021897, 034543,  274.5,   4.39,
0800200510, 021897, 034433,  299.6,   4.19,
0800200509, 021897, 034324,  324.2,   4.88,
0800200508, 021897, 034209,  350.5,   3.92,
0800200507, 021897, 034035,  401.7,   3.90,
0800200506, 021897, 033807,  500.3,   3.75,
0800200505, 021897, 033537,  600.5,   3.35,
0800200504, 021897, 033305,  700.2,   2.67,
0800200503, 021897, 033037,  799.2,   2.04,
0800200502, 021897, 032805,  899.1,   1.74,
0800200501, 021897, 032512, 1021.3,   1.62,
0800200622, 021897, 070826,    4.5,   5.96,
0800200621, 021897, 070712,   15.2,   5.63,
0800200619, 021897, 070558,   24.5,   5.66,
0800200618, 021897, 070438,   33.9,   7.40,
0800200617, 021897, 070324,   44.4,   7.29,
0800200616, 021897, 070158,   60.1,   5.93,
0800200615, 021897, 070040,   74.5,   5.97,
0800200614, 021897, 065934,   84.4,   6.21,
0800200613, 021897, 065814,   94.2,   5.87,
0800200612, 021897, 065708,  104.7,   5.35,
0800200611, 021897, 065548,  114.4,   5.51,
0800200610, 021897, 065434,  124.5,   5.70,
0800200609, 021897, 065316,  135.8,   5.34,
0800200608, 021897, 065144,  150.0,   5.56,
0800200606, 021897, 064920,  174.1,   4.70,
0800200604, 021897, 064612,  200.6,   5.00,
0800200603, 021897, 063922,  521.8,   3.08,
0800200602, 021897, 063200,  831.5,   1.93,
0800200601, 021897, 062704, 1019.5,   1.41,
0810200515, 031297, 040033,  225.1,   5.12,
