botid, date, time, press, llp, 
#, mmddyy, hhmmss, dbar, nmol/kg, 
0560200520, 083094, 064429,   14.6,   55.7,
0560200518, 083094, 064310,   25.2,   43.0,
0560200517, 083094, 064204,   35.2,   34.2,
0560200516, 083094, 064059,   44.6,   31.3,
0560200515, 083094, 063939,   59.6,   41.0,
0560200514, 083094, 063820,   75.9,   25.4,
0560200511, 083094, 063441,  105.5,   83.0,
0560200509, 083094, 063142,  125.1,  186.5,
0560200507, 083094, 062910,  150.4,  198.2,
0560200505, 083094, 062619,  175.6,  254.9,
0570200421, 092394, 080726,    5.4,   56.7,
0570200420, 092394, 080632,   15.1,   41.0,
0570200418, 092394, 080522,   25.0,   44.9,
0570200417, 092394, 080414,   35.0,   48.8,
0570200416, 092394, 080328,   44.6,   42.0,
0570200415, 092394, 080222,   59.9,   41.0,
0570200414, 092394, 080124,   75.2,   25.4,
0570200412, 092394, 075920,   95.1,   66.4,
0570200411, 092394, 075819,  105.2,   70.3,
0570200409, 092394, 075629,  124.1,   85.9,
0570200407, 092394, 075420,  149.6,   98.6,
0570200405, 092394, 075144,  174.4,  144.5,
0570200403, 092394, 074918,  200.0,  194.3,
0580200622, 101594, 090603,    5.0,   17.6,
0580200621, 101594, 090506,   14.6,   14.7,
0580200619, 101594, 090350,   25.0,   20.5,
0580200618, 101594, 090259,   34.3,   15.6,
0580200617, 101594, 090155,   44.6,    8.8,
0580200616, 101594, 090029,   59.5,    9.8,
0580200615, 101594, 085919,   74.5,   21.5,
0580200613, 101594, 085659,   94.7,   35.2,
0580200612, 101594, 085552,  104.7,   54.7,
0580200610, 101594, 085344,  124.7,  105.5,
0580200608, 101594, 085125,  149.5,  116.2,
0580200606, 101594, 084859,  174.4,  152.3,
0590200521, 112094, 074403,    5.3,   33.2,
0590200520, 112094, 074305,   14.8,   36.1,
0590200518, 112094, 074159,   25.2,   33.2,
0590200517, 112094, 074104,   34.2,   34.2,
0590200516, 112094, 074000,   43.2,   29.3,
0590200515, 112094, 073843,   58.7,   26.4,
0590200514, 112094, 073739,   74.0,   26.4,
0590200511, 112094, 073417,  102.3,   39.1,
0590200509, 112094, 073217,  125.2,   83.0,
0590200507, 112094, 072946,  150.6,  136.7,
0590200505, 112094, 072743,  173.0,  197.3,
0600200522, 020695, 075910,    4.9,  186.6,
0600200521, 020695, 075809,   14.9,  153.4,
0600200519, 020695, 075652,   23.2,  161.2,
0600200518, 020695, 075556,   34.1,  158.3,
0600200517, 020695, 075505,   43.8,  157.3,
0600200516, 020695, 075410,   59.8,   94.8,
0600200515, 020695, 075314,   74.9,   72.3,
0600200512, 020695, 075053,  104.3,   71.3,
0600200509, 020695, 074812,  123.8,  118.2,
0600200507, 020695, 074619,  149.8,   99.6,
0600200505, 020695, 074424,  175.1,  432.7,
0600200503, 020695, 074227,  199.5,  376.0,
0610200422, 030495, 080036,    5.5,  127.0,
0610200421, 030495, 075930,   15.0,  122.1,
0610200419, 030495, 075819,   25.5,  115.3,
0610200418, 030495, 075717,   34.0,  116.2,
0610200417, 030495, 075600,   44.7,   98.6,
0610200416, 030495, 075458,   57.9,  110.4,
0610200415, 030495, 075325,   78.0,  126.0,
0610200411, 030495, 074833,  111.9,  223.6,
0610200410, 030495, 074728,  123.6,  299.8,
0610200407, 030495, 074441,  149.2,  197.3,
0610200405, 030495, 074228,  174.9,  310.6,
0610200403, 030495, 074008,  200.0,  411.2,
0620201523, 040795, 131428,    4.8,  139.7,
0620201522, 040795, 131330,    9.7,  150.5,
0620201520, 040795, 131207,   24.6,  143.6,
0620201519, 040795, 131049,   44.2,  139.7,
0620201518, 040795, 131006,   50.0,  112.3,
0620201516, 040795, 130834,   74.3,  102.6,
0620201513, 040795, 130526,  105.1,  101.6,
0620201511, 040795, 130240,  124.3,   88.9,
0620201509, 040795, 130048,  149.5,  120.1,
0620201508, 040795, 125917,  174.4,  192.4,
0620201507, 040795, 125730,  199.5,  207.0,
0630200523, 050795, 090218,    5.0,   92.8,
0630200522, 050795, 090129,    9.7,   90.8,
0630200521, 050795, 090044,   15.0,  161.2,
0630200519, 050795, 085938,   24.7,   94.8,
0630200518, 050795, 085836,   34.3,   88.9,
0630200517, 050795, 085729,   45.0,   77.2,
0630200516, 050795, 085622,   59.5,   40.0,
0630200515, 050795, 085509,   75.6,   22.5,
0630200512, 050795, 085209,  104.8,   17.6,
0630200510, 050795, 085019,  124.3,   44.9,
0630200508, 050795, 084817,  149.8,   85.0,
0630200506, 050795, 084608,  174.7,   90.8,
0640200523, 073095, 082954,    5.0,   87.9,
0640200522, 073095, 082840,   14.7,   77.2,
0640200520, 073095, 082736,   24.4,  110.4,
0640200519, 073095, 082630,   35.0,   80.1,
0640200518, 073095, 082510,   45.1,   77.2,
0640200517, 073095, 082351,   60.1,   75.2,
0640200516, 073095, 082228,   74.9,   84.0,
0640200513, 073095, 081900,  104.7,  101.6,
0640200511, 073095, 081623,  124.5,   85.0,
0640200509, 073095, 081405,  149.5,  135.7,
0640200507, 073095, 081110,  174.3,  178.7,
0640200919, 073095, 211520,    3.7,   14.7,
0640200917, 073095, 211359,   19.2,    4.9,
0640200916, 073095, 211307,   24.2,    6.8,
0640200913, 073095, 210941,   74.1,    2.9,
0640200912, 073095, 210833,   88.9,   12.7,
0640200911, 073095, 210736,   99.6,   12.7,
0640200910, 073095, 210643,  109.7,   38.1,
0640200909, 073095, 210535,  124.5,   25.4,
0640200908, 073095, 210421,  149.7,   43.9,
0640200907, 073095, 210257,  174.5,   46.9,
0650200423, 082895, 073257,    4.7,   48.8,
0650200422, 082895, 073155,   14.3,   45.9,
0650200420, 082895, 073055,   25.0,   58.6,
0650200419, 082895, 073001,   44.3,   56.6,
0650200418, 082895, 072909,   60.3,   18.6,
0650200417, 082895, 072757,   74.4,   33.2,
0650200412, 082895, 072300,  105.2,   43.0,
0650200410, 082895, 072100,  124.8,  112.3,
0650200408, 082895, 071859,  149.6,  207.0,
0650200406, 082895, 071658,  173.3,  223.6,
