botid, date, time, press, sigma, tdp, 
#, mmddyy, hhmmss, dbar, kg/m3, umol/kg, 
1120200506, 030100, 004825,  174.5, 24.874,  -9.00,
1120200505, 030100, 004632,  224.9, 25.203,  -9.00,
1120200504, 030100, 004515,  250.8, 25.366,  -9.00,
1120200617, 030100, 035944,    4.5, 23.909,  -9.00,
1120200616, 030100, 035644,  101.9, 24.385,  -9.00,
1120200615, 030100, 035345,  208.6, 25.220,   0.44,
1120200614, 030100, 035159,  222.9, 25.303,   0.45,
1120200613, 030100, 035044,  234.0, 25.363,   0.45,
1120200612, 030100, 034924,  249.4, 25.541,   0.54,
1120200611, 030100, 034744,  274.4, 25.686,   0.63,
1120200610, 030100, 034559,  299.7, 25.866,   0.79,
1120200723, 030100, 065608,    4.5, 23.932,  -9.00,
1120200722, 030100, 065558,    4.5, 23.932,   0.36,
1120200721, 030100, 065459,   15.3, 23.933,   0.32,
1120200720, 030100, 065359,   25.0, 23.935,  -9.00,
1120200719, 030100, 065349,   25.1, 23.934,   0.30,
1120200718, 030100, 065243,   34.3, 23.943,   0.33,
1120200717, 030100, 065139,   45.7, 23.949,   0.30,
1120200716, 030100, 065039,   59.4, 24.007,  -9.00,
1120200715, 030100, 064934,   75.6, 24.196,   0.28,
1120200714, 030100, 064834,   83.3, 24.258,   0.32,
1120200713, 030100, 064734,   95.3, 24.399,   0.30,
1120200712, 030100, 064629,  105.5, 24.455,   0.31,
1120200711, 030100, 064534,  113.8, 24.494,   0.35,
1120200710, 030100, 064434,  124.0, 24.568,   0.34,
1120200709, 030100, 064334,  135.0, 24.663,   0.29,
1120200708, 030100, 064234,  148.6, 24.747,   0.35,
1120200707, 030100, 064129,  159.4, 24.820,  -9.00,
1120200706, 030100, 064009,  174.5, 24.920,   0.40,
1120200705, 030100, 063859,  186.0, 24.978,  -9.00,
1120200704, 030100, 063744,  200.9, 25.060,   0.40,
1120200812, 030100, 094717,    4.9, 23.938,  -9.00,
1120200811, 030100, 094707,    4.9, 23.938,  -9.00,
1120200810, 030100, 094657,    4.9, 23.938,  -9.00,
1120200809, 030100, 094503,   49.3, 24.029,  -9.00,
1120200808, 030100, 094328,   99.5, 24.356,  -9.00,
1120200807, 030100, 094147,  149.8, 24.702,  -9.00,
1120200806, 030100, 093823,  299.8, 25.758,  -9.00,
1120200904, 030100, 130732,    4.8, 23.952,  -9.00,
1120200903, 030100, 130442,   89.6, 24.238,  -9.00,
1120201009, 030100, 154811,    4.7, 23.959,  -9.00,
1120201008, 030100, 154531,   24.0, 23.959,  -9.00,
1120201007, 030100, 154521,   24.0, 23.959,  -9.00,
1120201006, 030100, 154411,   44.6, 23.964,  -9.00,
1120201005, 030100, 154402,   44.7, 23.964,  -9.00,
1120201004, 030100, 154032,  175.5, 24.879,  -9.00,
1120201003, 030100, 154023,  174.8, 24.880,  -9.00,
1120201120, 030100, 184811,    4.7, 23.965,  -9.00,
1120201119, 030100, 184801,    4.7, 23.965,  -9.00,
1120201118, 030100, 184706,   14.4, 23.965,  -9.00,
1120201117, 030100, 184621,   24.3, 23.969,  -9.00,
1120201116, 030100, 184611,   24.3, 23.970,  -9.00,
1120201115, 030100, 184510,   44.4, 24.158,  -9.00,
1120201114, 030100, 184500,   44.4, 24.158,  -9.00,
1120201113, 030100, 184451,   44.3, 24.159,  -9.00,
1120201112, 030100, 184340,   74.8, 24.265,  -9.00,
1120201111, 030100, 184330,   75.1, 24.266,  -9.00,
1120201110, 030100, 184321,   75.1, 24.266,  -9.00,
1120201109, 030100, 184216,  101.0, 24.341,  -9.00,
1120201108, 030100, 184111,  124.4, 24.518,  -9.00,
1120201107, 030100, 184101,  124.5, 24.520,  -9.00,
1120201106, 030100, 184001,  149.4, 24.771,  -9.00,
1120201105, 030100, 183855,  176.6, 24.931,  -9.00,
1120201104, 030100, 183846,  176.3, 24.928,  -9.00,
1120201103, 030100, 183700,  225.0, 25.248,  -9.00,
1120201205, 030100, 214439,    4.5, 23.956,  -9.00,
1120201204, 030100, 214224,  100.4, 24.352,  -9.00,
1120201313, 030200, 004919,    4.1, 23.939,  -9.00,
1120201312, 030200, 004814,   24.8, 23.961,  -9.00,
1120201311, 030200, 004709,   45.0, 24.073,  -9.00,
1120201310, 030200, 004559,   75.2, 24.250,  -9.00,
1120201309, 030200, 004449,   98.8, 24.368,  -9.00,
1120201308, 030200, 004339,  125.5, 24.593,  -9.00,
1120201307, 030200, 004229,  150.6, 24.762,  -9.00,
1120201306, 030200, 004114,  176.0, 24.922,  -9.00,
1120201305, 030200, 003909,  250.6, 25.405,  -9.00,
1120201415, 030200, 035054,    5.0, 23.945,  -9.00,
1120201414, 030200, 034928,   24.9, 23.966,  -9.00,
1120201413, 030200, 034809,   49.3, 24.066,  -9.00,
1120201412, 030200, 034648,   75.6, 24.268,  -9.00,
1120201411, 030200, 034529,   99.8, 24.368,  -9.00,
1120201410, 030200, 034414,  123.7, 24.468,  -9.00,
1120201409, 030200, 034254,  148.5, 24.711,  -9.00,
1120201408, 030200, 034129,  174.3, 24.924,  -9.00,
1120201407, 030200, 034008,  200.0, 25.071,  -9.00,
1120201406, 030200, 033819,  250.4, 25.492,  -9.00,
1120201516, 030200, 064757,    5.2, 23.947,  -9.00,
1120201515, 030200, 064747,    5.1, 23.947,  -9.00,
1120201514, 030200, 064622,   24.4, 23.949,  -9.00,
1120201513, 030200, 064612,   24.7, 23.949,  -9.00,
1120201512, 030200, 064452,   44.0, 24.107,  -9.00,
1120201511, 030200, 064357,   49.2, 24.210,  -9.00,
1120201510, 030200, 064242,   74.8, 24.312,  -9.00,
1120201509, 030200, 064122,  100.6, 24.425,  -9.00,
1120201508, 030200, 064113,  100.6, 24.424,  -9.00,
1120201507, 030200, 063952,  124.9, 24.598,  -9.00,
1120201506, 030200, 063827,  149.8, 24.785,  -9.00,
1120201505, 030200, 063817,  149.6, 24.785,  -9.00,
1120201504, 030200, 063652,  176.2, 25.001,  -9.00,
1120201503, 030200, 063642,  175.7, 25.001,  -9.00,
1120201622, 030200, 121341,    5.2, 23.975,  -9.00,
1120201621, 030200, 121052,   99.2, 24.367,  -9.00,
1130200124, 032800, 171915,    4.4, 24.021,  -9.00,
1130200224, 032800, 200333,    4.4, 24.055,  -9.00,
1130200223, 032800, 200118,   45.2, 24.061,  -9.00,
1130200222, 032800, 195944,   89.6, 24.313,  -9.00,
1130200221, 032800, 195808,  124.5, 24.454,  -9.00,
1130200220, 032800, 195633,  170.0, 24.951,  -9.00,
1130200219, 032800, 195508,  199.4, 25.150,  -9.00,
1130200218, 032800, 195328,  237.8, 25.472,  -9.00,
1130200217, 032800, 195158,  275.2, 25.767,  -9.00,
1130200313, 032800, 225213,    5.1, 24.065,  -9.00,
1130200312, 032800, 225058,   25.0, 24.074,  -9.00,
1130200311, 032800, 224943,   45.3, 24.121,  -9.00,
1130200310, 032800, 224813,   74.0, 24.294,  -9.00,
1130200309, 032800, 224643,  100.6, 24.376,  -9.00,
1130200308, 032800, 224523,  125.3, 24.537,  -9.00,
1130200307, 032800, 224358,  149.0, 24.851,  -9.00,
1130200306, 032800, 224248,  173.9, 25.027,  -9.00,
1130200305, 032800, 224238,  173.9, 25.028,  -9.00,
1130200304, 032800, 224028,  249.8, 25.564,  -9.00,
1130200413, 032900, 015519,    4.7, 24.064,  -9.00,
1130200412, 032900, 015355,   25.1, 24.070,  -9.00,
1130200411, 032900, 015234,   44.6, 24.190,  -9.00,
1130200410, 032900, 015223,   44.7, 24.190,  -9.00,
1130200409, 032900, 015045,   75.3, 24.314,  -9.00,
1130200408, 032900, 014925,   98.8, 24.433,  -9.00,
1130200407, 032900, 014748,  126.0, 24.671,  -9.00,
1130200406, 032900, 014623,  149.8, 24.938,  -9.00,
1130200405, 032900, 014459,  175.2, 25.112,  -9.00,
1130200404, 032900, 014237,  249.0, 25.476,  -9.00,
1130200522, 032900, 045650,    4.2, 24.071,   0.27,
1130200521, 032900, 045400,  100.2, 24.333,   0.21,
1130200520, 032900, 045212,  150.2, 24.706,  -9.00,
1130200519, 032900, 045202,  150.3, 24.707,  -9.00,
1130200518, 032900, 045152,  150.2, 24.707,  -9.00,
1130200517, 032900, 045142,  150.1, 24.706,  -9.00,
1130200516, 032900, 045021,  174.8, 25.040,  -9.00,
1130200515, 032900, 044853,  209.4, 25.209,   0.41,
1130200514, 032900, 044746,  224.7, 25.321,   0.38,
1130200513, 032900, 044641,  235.6, 25.420,   0.49,
1130200512, -00009, -00009,  248.9, 25.501,   0.52,
1130200511, 032900, 044412,  273.7, 25.687,   0.62,
1130200510, 032900, 044254,  299.3, 25.914,   0.80,
1130200623, 032900, 075450,    4.6, 24.075,  -9.00,
1130200622, 032900, 075439,    4.6, 24.075,   0.28,
1130200621, 032900, 075340,   14.3, 24.076,   0.26,
1130200620, 032900, 075241,   23.5, 24.074,  -9.00,
1130200619, 032900, 075231,   23.5, 24.074,   0.25,
1130200618, 032900, 075130,   33.8, 24.073,   0.26,
1130200617, 032900, 075031,   44.7, 24.073,   0.28,
1130200616, 032900, 074929,   59.7, 24.074,   0.28,
1130200615, 032900, 074821,   74.2, 24.215,   0.21,
1130200614, 032900, 074723,   84.3, 24.257,   0.25,
1130200613, 032900, 074625,   93.5, 24.278,   0.24,
1130200612, 032900, 074526,  103.9, 24.303,  -9.00,
1130200611, 032900, 074423,  115.1, 24.333,   0.23,
1130200610, 032900, 074321,  125.2, 24.363,   0.25,
1130200609, 032900, 074223,  134.0, 24.405,   0.24,
1130200608, 032900, 074121,  149.3, 24.599,   0.29,
1130200607, 032900, 074023,  159.2, 24.713,  -9.00,
1130200606, 032900, 073923,  174.8, 24.832,   0.33,
1130200605, 032900, 073819,  186.7, 24.934,  -9.00,
1130200604, 032900, 073717,  201.2, 25.108,   0.32,
1130200722, 032900, 105610,    4.5, 24.079,  -9.00,
1130200721, 032900, 105418,   49.9, 24.080,  -9.00,
1130200720, 032900, 105231,  100.0, 24.259,  -9.00,
1130200719, 032900, 105032,  149.4, 24.622,  -9.00,
1130200718, 032900, 105023,  149.3, 24.621,  -9.00,
1130200717, 032900, 105013,  149.5, 24.626,  -9.00,
1130200716, 032900, 105002,  149.4, 24.623,  -9.00,
1130200715, 032900, 104749,  200.6, 25.132,  -9.00,
1130200806, 032900, 141009,   25.2, 24.091,  -9.00,
1130200805, 032900, 140854,   45.2, 24.091,  -9.00,
1130200804, 032900, 140534,  175.2, 24.858,  -9.00,
1130200909, 032900, 164712,   45.5, 24.103,  -9.00,
1130200908, 032900, 164702,   45.5, 24.103,  -9.00,
1130200907, 032900, 164652,   45.6, 24.103,  -9.00,
1130200906, 032900, 164502,   99.9, 24.313,  -9.00,
1130200905, 032900, 164043,  299.4, 25.986,  -9.00,
1130200904, 032900, 164032,  299.5, 25.986,  -9.00,
1130200903, 032900, 164022,  299.6, 25.987,  -9.00,
1130201012, 032900, 195202,    4.6, 24.102,  -9.00,
1130201011, 032900, 195052,   25.2, 24.104,  -9.00,
1130201010, 032900, 194938,   46.2, 24.104,  -9.00,
1130201009, 032900, 194824,   76.9, 24.217,  -9.00,
1130201008, 032900, 194708,   99.7, 24.354,  -9.00,
1130201007, 032900, 194553,  123.9, 24.500,  -9.00,
1130201006, 032900, 194439,  150.1, 24.877,  -9.00,
1130201005, 032900, 194324,  173.9, 25.075,  -9.00,
1130201004, 032900, 194123,  250.3, 25.651,  -9.00,
1130201108, 032900, 231322,    4.5, 24.089,  -9.00,
1130201107, 032900, 230942,  150.3, 24.659,  -9.00,
1130201106, 032900, 230932,  150.3, 24.666,  -9.00,
1130201105, 032900, 230922,  150.7, 24.673,  -9.00,
1130201104, 032900, 230912,  151.1, 24.681,  -9.00,
1130201103, 032900, 230632,  249.9, 25.447,  -9.00,
1130201210, 033000, 015556,    4.6, 24.083,  -9.00,
1130201209, 033000, 015431,   24.7, 24.086,  -9.00,
1130201208, 033000, 015311,   45.2, 24.101,  -9.00,
1130201207, 033000, 015116,   74.9, 24.105,  -9.00,
1130201206, 033000, 014941,  100.2, 24.289,  -9.00,
1130201205, 033000, 014811,  124.2, 24.388,  -9.00,
1130201204, 033000, 014126,  150.0, 24.566,  -9.00,
1130201203, 033000, 013951,  173.9, 24.896,  -9.00,
1130201321, 033000, 043346,    5.2, 24.091,  -9.00,
1130201320, 033000, 043221,   25.2, 24.094,  -9.00,
1130201319, 033000, 043056,   50.8, 24.103,  -9.00,
1130201318, 033000, 042931,   75.5, 24.253,  -9.00,
1130201317, 033000, 042811,  100.5, 24.415,  -9.00,
1130201316, 033000, 042646,  125.0, 24.573,  -9.00,
1130201315, 033000, 042531,  149.7, 24.900,  -9.00,
1130201314, 033000, 042411,  174.6, 25.042,  -9.00,
1130201313, 033000, 042246,  200.9, 25.198,  -9.00,
1130201312, 033000, 042056,  249.5, 25.477,  -9.00,
1130201311, 033000, 041906,  299.7, 25.881,  -9.00,
1130201418, 033000, 075014,    4.9, 24.111,  -9.00,
1130201417, 033000, 075004,    4.8, 24.110,  -9.00,
1130201416, 033000, 074839,   25.3, 24.109,  -9.00,
1130201415, 033000, 074829,   25.2, 24.109,  -9.00,
1130201414, 033000, 074719,   45.5, 24.110,  -9.00,
1130201413, 033000, 074709,   45.4, 24.110,  -9.00,
1130201412, 033000, 074539,   74.4, 24.122,  -9.00,
1130201411, 033000, 074529,   74.6, 24.122,  -9.00,
1130201410, 033000, 074420,   99.6, 24.285,  -9.00,
1130201409, 033000, 074410,   99.7, 24.285,  -9.00,
1130201408, 033000, 074254,  125.4, 24.389,  -9.00,
1130201407, 033000, 074244,  125.5, 24.389,  -9.00,
1130201406, 033000, 074129,  152.7, 24.518,  -9.00,
1130201405, 033000, 074120,  152.7, 24.517,  -9.00,
1130201404, 033000, 073949,  176.7, 24.824,  -9.00,
1130201403, 033000, 073941,  176.4, 24.819,  -9.00,
1130201518, 033000, 132028,    5.0, 24.120,  -9.00,
1130201517, 033000, 131743,  100.6, 24.354,  -9.00,
1130201516, 033000, 131408,  249.9, 25.504,  -9.00,
1140200124, 042500, 171551,    4.4, 23.659,  -9.00,
1140200224, 042500, 195959,    5.2, 23.627,  -9.00,
1140200223, 042500, 195720,   45.0, 23.738,  -9.00,
1140200222, 042500, 195600,   70.4, 23.958,  -9.00,
1140200221, 042500, 195404,  140.1, 24.433,  -9.00,
1140200220, 042500, 195209,  204.8, 25.004,  -9.00,
1140200219, 042500, 195019,  265.1, 25.495,  -9.00,
1140200218, 042500, 194904,  299.0, 25.693,  -9.00,
1140200316, 042500, 224945,    4.2, 23.578,  -9.00,
1140200315, 042500, 224830,   24.8, 23.634,  -9.00,
1140200314, 042500, 224725,   45.4, 23.792,  -9.00,
1140200313, 042500, 224619,   75.3, 24.003,  -9.00,
1140200312, 042500, 224514,   99.7, 24.122,  -9.00,
1140200311, 042500, 224414,  125.1, 24.357,  -9.00,
1140200310, 042500, 224314,  149.8, 24.559,  -9.00,
1140200309, 042500, 224200,  174.3, 24.683,  -9.00,
1140200308, 042500, 223959,  250.0, 25.447,  -9.00,
1140200307, 042500, 223825,  299.4, 25.865,  -9.00,
1140200415, 042600, 015200,    4.8, 23.558,  -9.00,
1140200414, 042600, 015041,   24.7, 23.617,  -9.00,
1140200413, 042600, 014926,   45.0, 23.828,  -9.00,
1140200412, 042600, 014916,   45.0, 23.831,  -9.00,
1140200411, 042600, 014747,   76.0, 24.102,  -9.00,
1140200410, 042600, 014632,   99.8, 24.342,  -9.00,
1140200409, 042600, 014515,  124.1, 24.553,  -9.00,
1140200408, 042600, 014505,  124.3, 24.553,  -9.00,
1140200407, 042600, 014345,  149.8, 24.685,  -9.00,
1140200406, 042600, 014217,  174.7, 24.917,  -9.00,
1140200405, 042600, 014206,  174.8, 24.918,  -9.00,
1140200404, 042600, 013954,  249.6, 25.541,  -9.00,
1140200517, 042600, 045512,    4.5, 23.630,  -9.00,
1140200516, 042600, 045218,  100.1, 24.338,  -9.00,
1140200515, 042600, 044933,  209.4, 25.156,   0.43,
1140200514, 042600, 044819,  224.5, 25.280,   0.54,
1140200513, 042600, 044715,  234.1, 25.367,   0.54,
1140200512, 042600, 044557,  249.4, 25.447,   0.52,
1140200511, 042600, 044438,  275.1, 25.624,   0.62,
1140200510, 042600, 044316,  300.0, 25.793,   0.74,
1140200623, 042600, 075947,    4.9, 23.658,  -9.00,
1140200622, 042600, 075937,    4.9, 23.658,   0.31,
1140200621, 042600, 075829,   14.9, 23.657,   0.29,
1140200620, 042600, 075719,   25.1, 23.681,  -9.00,
1140200619, 042600, 075709,   25.0, 23.682,   0.25,
1140200618, 042600, 075603,   35.5, 23.718,  -9.00,
1140200617, 042600, 075502,   44.7, 23.735,   0.36,
1140200616, 042600, 075347,   60.7, 23.792,   0.29,
1140200615, 042600, 075153,   75.0, 23.947,   0.28,
1140200614, 042600, 075049,   83.9, 24.002,   0.27,
1140200613, 042600, 074944,   94.8, 24.051,   0.28,
1140200612, 042600, 074843,  104.0, 24.162,   0.31,
1140200611, 042600, 074739,  114.2, 24.278,   0.34,
1140200610, 042600, 074633,  124.6, 24.378,   0.27,
1140200609, 042600, 074532,  134.7, 24.480,   0.27,
1140200608, 042600, 074423,  149.3, 24.603,   0.29,
1140200607, 042600, 074318,  159.7, 24.647,  -9.00,
1140200606, 042600, 074216,  174.2, 24.798,   0.36,
1140200605, 042600, 074106,  184.6, 24.845,  -9.00,
1140200604, 042600, 073955,  200.5, 24.957,   0.42,
1140200706, 042600, 105334,    4.6, 23.670,  -9.00,
1140200705, 042600, 105142,   44.9, 23.721,  -9.00,
1140200704, 042600, 104922,  124.9, 24.407,  -9.00,
1140200703, 042600, 104727,  175.7, 24.834,  -9.00,
1140200805, 042600, 144140,   24.9, 23.630,  -9.00,
1140200804, 042600, 144031,   45.4, 23.707,  -9.00,
1140200803, 042600, 143756,  141.6, 24.565,  -9.00,
1140200905, 042600, 164445,    4.6, 23.653,  -9.00,
1140200904, 042600, 164300,   45.0, 23.688,  -9.00,
1140200903, 042600, 163845,  176.0, 24.746,  -9.00,
1140201012, 042600, 195044,    5.1, 23.656,  -9.00,
1140201011, 042600, 194944,   25.8, 23.666,  -9.00,
1140201010, 042600, 194834,   45.6, 23.677,  -9.00,
1140201009, 042600, 194714,   74.8, 23.988,  -9.00,
1140201008, 042600, 194559,  100.2, 24.184,  -9.00,
1140201007, 042600, 194444,  124.4, 24.424,  -9.00,
1140201006, 042600, 194329,  149.5, 24.637,  -9.00,
1140201005, 042600, 194219,  175.9, 24.781,  -9.00,
1140201004, 042600, 193949,  250.2, 25.287,  -9.00,
1140201105, 042600, 224959,    5.4, 23.641,  -9.00,
1140201104, 042600, 224818,   45.3, 23.704,  -9.00,
1140201103, 042600, 224458,  175.2, 24.865,  -9.00,
1140201212, -00009, -00009,    4.4, 23.573,  -9.00,
1140201211, -00009, -00009,   24.7, 23.672,  -9.00,
1140201210, 042700, 015430,   44.4, 23.702,  -9.00,
1140201209, 042700, 015248,   74.7, 24.051,  -9.00,
1140201208, 042700, 015117,   74.7, 24.052,  -9.00,
1140201207, 042700, 014917,   99.5, 24.271,  -9.00,
1140201206, 042700, 014718,   99.3, 24.267,  -9.00,
1140201205, 042700, 014534,  124.4, 24.584,  -9.00,
1140201204, 042700, 014337,  148.8, 24.748,  -9.00,
1140201203, 042700, 014150,  175.2, 24.996,  -9.00,
1140201306, 042700, 041659,    4.5, 23.566,  -9.00,
1140201305, 042700, 041458,   45.9, 23.730,  -9.00,
1140201304, 042700, 041303,   99.8, 24.321,  -9.00,
1140201303, 042700, 041034,  174.9, 24.863,  -9.00,
1140201423, 042700, 075453,    5.2, 23.566,  -9.00,
1140201422, 042700, 075443,    5.1, 23.565,  -9.00,
1140201421, 042700, 075316,   25.5, 23.565,  -9.00,
1140201420, 042700, 075308,   25.5, 23.567,  -9.00,
1140201419, 042700, 075150,   44.5, 23.699,  -9.00,
1140201418, 042700, 075139,   44.5, 23.699,  -9.00,
1140201417, 042700, 075037,   50.8, 23.726,  -9.00,
1140201416, 042700, 075027,   50.8, 23.725,  -9.00,
1140201415, 042700, 075016,   50.7, 23.719,  -9.00,
1140201414, 042700, 075007,   50.6, 23.713,  -9.00,
1140201413, 042700, 074957,   50.4, 23.711,  -9.00,
1140201412, 042700, 074836,   75.1, 23.995,  -9.00,
1140201411, 042700, 074826,   74.8, 23.991,  -9.00,
1140201410, 042700, 074706,  100.3, 24.248,  -9.00,
1140201409, 042700, 074656,  100.2, 24.248,  -9.00,
1140201408, 042700, 074521,  125.1, 24.484,  -9.00,
1140201407, 042700, 074521,  124.9, 24.484,  -9.00,
1140201406, 042700, 074400,  149.7, 24.664,  -9.00,
1140201405, 042700, 074350,  149.5, 24.664,  -9.00,
1140201404, 042700, 074226,  175.9, 24.885,  -9.00,
1140201403, 042700, 074217,  175.7, 24.878,  -9.00,
1140201509, 042700, 131040,    4.7, 23.545,  -9.00,
1140201508, 042700, 130755,  101.6, 24.329,  -9.00,
1150200124, 052300, 171454,    5.0, 23.450,  -9.00,
1150200224, 052300, 195823,   33.3, 23.473,  -9.00,
1150200223, 052300, 195708,   59.0, 23.815,  -9.00,
1150200222, 052300, 195603,   75.8, 24.029,  -9.00,
1150200221, 052300, 195418,  124.6, 24.391,  -9.00,
1150200220, 052300, 195309,  159.9, 24.621,  -9.00,
1150200219, 052300, 195153,  202.2, 24.947,  -9.00,
1150200218, 052300, 195024,  249.4, 25.241,  -9.00,
1150200217, 052300, 194928,  273.7, 25.383,  -9.00,
1150200324, 052300, 225142,    4.3, 23.392,  -9.00,
1150200323, 052300, 225132,    4.3, 23.391,  -9.00,
1150200322, 052300, 225027,   24.3, 23.440,  -9.00,
1150200321, 052300, 225017,   24.2, 23.440,  -9.00,
1150200320, 052300, 224922,   43.9, 23.533,  -9.00,
1150200319, 052300, 224912,   43.9, 23.533,  -9.00,
1150200318, 052300, 224902,   43.8, 23.533,  -9.00,
1150200317, 052300, 224852,   43.8, 23.533,  -9.00,
1150200316, 052300, 224807,   49.2, 23.540,  -9.00,
1150200315, 052300, 224712,   74.6, 23.904,  -9.00,
1150200314, 052300, 224607,   99.3, 24.248,  -9.00,
1150200313, 052300, 224557,   99.2, 24.248,  -9.00,
1150200312, 052300, 224512,  109.0, 24.314,  -9.00,
1150200311, 052300, 224422,  124.1, 24.413,  -9.00,
1150200310, 052300, 224337,  134.4, 24.468,  -9.00,
1150200309, 052300, 224242,  148.4, 24.595,  -9.00,
1150200308, 052300, 224232,  148.5, 24.595,  -9.00,
1150200307, 052300, 224222,  148.5, 24.593,  -9.00,
1150200306, 052300, 224137,  158.5, 24.686,  -9.00,
1150200305, 052300, 224007,  175.8, 24.841,  -9.00,
1150200304, 052300, 223807,  250.2, 25.388,  -9.00,
1150200413, 052400, 015355,    4.7, 23.342,  -9.00,
1150200412, 052400, 015240,   24.3, 23.504,  -9.00,
1150200411, 052400, 015125,   45.5, 23.546,  -9.00,
1150200410, 052400, 015109,   45.5, 23.545,  -9.00,
1150200409, 052400, 014938,   74.1, 23.949,  -9.00,
1150200408, 052400, 014815,   99.0, 24.270,  -9.00,
1150200407, 052400, 014537,  125.3, 24.451,  -9.00,
1150200406, 052400, 014414,  149.1, 24.644,  -9.00,
1150200405, 052400, 014258,  174.0, 24.877,  -9.00,
1150200404, 052400, 014045,  249.3, 25.411,  -9.00,
1150200522, 052400, 050257,    4.8, 23.310,  -9.00,
1150200521, 052400, 050248,    4.8, 23.311,  -9.00,
1150200520, 052400, 050123,   25.1, 23.492,  -9.00,
1150200519, 052400, 045957,   50.3, 23.981,  -9.00,
1150200518, 052400, 045811,  100.1, 24.358,  -9.00,
1150200517, 052400, 045620,  149.8, 24.642,  -9.00,
1150200516, 052400, 045438,  200.3, 25.013,  -9.00,
1150200515, 052400, 045341,  209.1, 25.122,   0.45,
1150200514, 052400, 045234,  224.3, 25.219,   0.62,
1150200513, 052400, 045133,  234.2, 25.308,   0.56,
1150200512, 052400, 045027,  249.3, 25.468,   0.66,
1150200511, 052400, 044911,  274.2, 25.662,   0.76,
1150200510, 052400, 044752,  299.0, 25.825,   0.76,
1150200624, 052400, 075836,    4.9, 23.346,   0.39,
1150200623, 052400, 075823,    4.8, 23.344,  -9.00,
1150200622, 052400, 075717,   15.1, 23.346,  -9.00,
1150200621, 052400, 075608,   25.1, 23.409,  -9.00,
1150200620, 052400, 075555,   25.1, 23.410,  -9.00,
1150200619, 052400, 075449,   35.0, 23.435,   0.38,
1150200618, 052400, 075346,   45.3, 23.516,  -9.00,
1150200617, 052400, 075335,   45.3, 23.528,   0.36,
1150200616, 052400, 075224,   59.8, 23.816,   0.33,
1150200615, 052400, 075120,   74.1, 24.014,   0.35,
1150200614, 052400, 075018,   84.9, 24.117,   0.30,
1150200613, 052400, 074918,   94.8, 24.179,   0.40,
1150200612, 052400, 074814,  104.2, 24.201,   0.38,
1150200611, 052400, 074713,  114.0, 24.340,   0.39,
1150200610, 052400, 074605,  124.2, 24.383,   0.46,
1150200609, 052400, 074506,  134.3, 24.438,   0.49,
1150200608, 052400, 074357,  150.2, 24.487,   0.40,
1150200607, 052400, 074256,  159.8, 24.545,  -9.00,
1150200606, 052400, 074150,  175.1, 24.621,   0.38,
1150200605, 052400, 074044,  185.8, 24.693,  -9.00,
1150200604, 052400, 073930,  199.4, 24.826,   0.42,
1150200720, 052400, 105613,    4.8, 23.341,  -9.00,
1150200719, 052400, 105559,    4.7, 23.340,  -9.00,
1150200718, 052400, 105432,   24.8, 23.417,  -9.00,
1150200717, 052400, 105410,   24.7, 23.417,  -9.00,
1150200716, 052400, 105255,   44.9, 23.584,  -9.00,
1150200715, 052400, 105239,   44.9, 23.585,  -9.00,
1150200714, 052400, 105111,   74.7, 24.047,  -9.00,
1150200713, 052400, 105057,   74.6, 24.047,  -9.00,
1150200712, 052400, 104933,   99.8, 24.180,  -9.00,
1150200711, 052400, 104919,   99.7, 24.178,  -9.00,
1150200710, 052400, 104800,  124.1, 24.345,  -9.00,
1150200709, 052400, 104745,  124.1, 24.345,  -9.00,
1150200708, 052400, 104627,  149.7, 24.508,  -9.00,
1150200707, 052400, 104612,  149.6, 24.507,  -9.00,
1150200706, 052400, 104445,  177.4, 24.727,  -9.00,
1150200705, 052400, 104429,  176.7, 24.716,  -9.00,
1150200704, 052400, 104243,  205.9, 25.064,  -9.00,
1150200819, 052500, 015451,    5.2, 23.292,  -9.00,
1150200818, 052500, 015441,    5.3, 23.287,  -9.00,
1150200817, 052500, 015316,   25.2, 23.384,  -9.00,
1150200816, 052500, 015307,   25.3, 23.384,  -9.00,
1150200815, 052500, 015201,   35.5, 23.392,  -9.00,
1150200814, 052500, 015056,   45.1, 23.550,  -9.00,
1150200813, 052500, 015046,   45.1, 23.535,  -9.00,
1150200812, 052500, 014951,   49.8, 23.675,  -9.00,
1150200811, 052500, 014856,   60.1, 23.886,  -9.00,
1150200810, 052500, 014749,   76.3, 24.032,  -9.00,
1150200809, 052500, 014636,  100.3, 24.198,  -9.00,
1150200808, 052500, 014626,  100.0, 24.197,  -9.00,
1150200807, 052500, 014518,  125.7, 24.401,  -9.00,
1150200806, 052500, 014402,  148.7, 24.607,  -9.00,
1150200805, 052500, 014250,  174.4, 24.916,  -9.00,
1150200804, 052500, 014134,  200.1, 25.146,  -9.00,
1150200921, 052500, 045923,    4.8, 23.306,  -9.00,
1150200920, 052500, 045912,    4.8, 23.307,  -9.00,
1150200919, 052500, 045902,    4.8, 23.308,  -9.00,
1150200918, 052500, 045736,   25.0, 23.390,  -9.00,
1150200917, 052500, 045726,   25.1, 23.389,  -9.00,
1150200916, 052500, 045606,   44.3, 23.849,  -9.00,
1150200915, 052500, 045556,   44.2, 23.849,  -9.00,
1150200914, 052500, 045442,   49.9, 23.898,  -9.00,
